id,which_mesh,term,is_major_topic,qualifier_name
W2154651081,1,Laser Therapy,TRUE,methods
W2154651081,2,Metal Nanoparticles,TRUE,
W2154651081,3,Microsurgery,TRUE,methods
W2154651081,4,Neoplasms,TRUE,surgery
W2154651081,5,"Plaque, Atherosclerotic",TRUE,surgery
W2154651081,6,"Cell Line, Tumor",FALSE,
W2154651081,7,Fibroblasts,FALSE,
W2154651081,8,Fibroblasts,FALSE,cytology
W2154651081,9,Gold,FALSE,
W2154651081,10,Humans,FALSE,
W2154651081,11,Laser Therapy,FALSE,instrumentation
W2154651081,12,Laser Therapy,FALSE,
W2154651081,13,Laser Therapy,FALSE,adverse effects
W2154651081,14,Light,FALSE,
W2154651081,15,Microsurgery,FALSE,adverse effects
W2154651081,16,Microsurgery,FALSE,instrumentation
W2154651081,17,Microsurgery,FALSE,
W2154651081,18,Neoplasms,FALSE,
W2154651081,19,"Plaque, Atherosclerotic",FALSE,
W2154651081,20,"Scattering, Radiation",FALSE,
W1983555013,1,Aerospace Medicine,TRUE,trends
W1983555013,2,Environmental Health,TRUE,trends
W1983555013,3,"Adaptation, Physiological",FALSE,
W1983555013,4,Aerospace Medicine,FALSE,
W1983555013,5,"Anthropology, Cultural",FALSE,
W1983555013,6,Astronauts,FALSE,
W1983555013,7,Biological Science Disciplines,FALSE,
W1983555013,8,Biological Science Disciplines,FALSE,trends
W1983555013,9,"Ecological Systems, Closed",FALSE,
W1983555013,10,Environmental Health,FALSE,
W1983555013,11,Humans,FALSE,
W1983555013,12,Life Support Systems,FALSE,
W1983555013,13,Politics,FALSE,
W1983555013,14,Space Flight,FALSE,
W1983555013,15,Weightlessness,FALSE,
W2077952973,1,"Earth, Planet",TRUE,
W2077952973,2,Geology,TRUE,methods
W2077952973,3,"Evolution, Planetary",FALSE,
W2077952973,4,France,FALSE,
W2077952973,5,Geology,FALSE,
W2077952973,6,Germany,FALSE,
W2077952973,7,Helium,FALSE,
W2077952973,8,Hydrogen,FALSE,
W2077952973,9,Turkey,FALSE,
W2077952973,10,Volcanic Eruptions,FALSE,
W2066710099,1,Atrial Fibrillation,TRUE,physiopathology
W2066710099,2,Electrocardiography,TRUE,
W2066710099,3,Hypothermia,TRUE,physiopathology
W2066710099,4,Action Potentials,FALSE,
W2066710099,5,Action Potentials,FALSE,physiology
W2066710099,6,Adult,FALSE,
W2066710099,7,Atrial Fibrillation,FALSE,etiology
W2066710099,8,Atrial Fibrillation,FALSE,
W2066710099,9,Calcium Channels,FALSE,physiology
W2066710099,10,Calcium Channels,FALSE,
W2066710099,11,Gastroenteritis,FALSE,complications
W2066710099,12,Gastroenteritis,FALSE,
W2066710099,13,Humans,FALSE,
W2066710099,14,Hypercalcemia,FALSE,
W2066710099,15,Hypercalcemia,FALSE,complications
W2066710099,16,Hypercalcemia,FALSE,etiology
W2066710099,17,Hypothermia,FALSE,
W2066710099,18,Male,FALSE,
W2018249758,1,"Fractionation, Field Flow",TRUE,methods
W2018249758,2,Mass Spectrometry,TRUE,methods
W2018249758,3,Metal Nanoparticles,TRUE,chemistry
W2018249758,4,Silver,TRUE,chemistry
W2018249758,5,Analysis of Variance,FALSE,
W2018249758,6,Animals,FALSE,
W2018249758,7,"Fractionation, Field Flow",FALSE,
W2018249758,8,Light,FALSE,
W2018249758,9,Mass Spectrometry,FALSE,
W2018249758,10,Metal Nanoparticles,FALSE,
W2018249758,11,Metal Nanoparticles,FALSE,ultrastructure
W2018249758,12,"Microscopy, Electron, Transmission",FALSE,
W2018249758,13,Oligochaeta,FALSE,
W2018249758,14,Particle Size,FALSE,
W2018249758,15,Reproducibility of Results,FALSE,
W2018249758,16,"Scattering, Radiation",FALSE,
W2018249758,17,Sensitivity and Specificity,FALSE,
W2018249758,18,Silver,FALSE,
W2018249758,19,"Statistics, Nonparametric",FALSE,
W2019889446,1,Computer Simulation,TRUE,
W2019889446,2,Gases,TRUE,chemistry
W2019889446,3,Hydrogen,TRUE,chemistry
W2019889446,4,Silanes,TRUE,chemistry
W2019889446,5,"Carbon Compounds, Inorganic",FALSE,
W2019889446,6,"Carbon Compounds, Inorganic",FALSE,chemistry
W2019889446,7,Gases,FALSE,
W2019889446,8,Hydrogen,FALSE,
W2019889446,9,Kinetics,FALSE,
W2019889446,10,Silanes,FALSE,
W2019889446,11,Silicon Compounds,FALSE,chemistry
W2019889446,12,Silicon Compounds,FALSE,
W2019889446,13,Thermodynamics,FALSE,
W2019889446,14,Volatilization,FALSE,
W2033811093,1,Carboxylic Acids,TRUE,chemistry
W2033811093,2,Ions,TRUE,chemistry
W2033811093,3,Molecular Dynamics Simulation,TRUE,
W2033811093,4,Water,TRUE,chemistry
W2033811093,5,Animals,FALSE,
W2033811093,6,Aspartic Acid,FALSE,chemistry
W2033811093,7,Aspartic Acid,FALSE,
W2033811093,8,"Calcification, Physiologic",FALSE,
W2033811093,9,Calcium,FALSE,chemistry
W2033811093,10,Calcium,FALSE,
W2033811093,11,Carboxylic Acids,FALSE,
W2033811093,12,Ions,FALSE,
W2033811093,13,Magnesium,FALSE,chemistry
W2033811093,14,Magnesium,FALSE,
W2033811093,15,Solutions,FALSE,chemistry
W2033811093,16,Solutions,FALSE,
W2033811093,17,Strontium,FALSE,
W2033811093,18,Strontium,FALSE,chemistry
W2033811093,19,Water,FALSE,
W1983182660,1,Fiber Optic Technology,TRUE,methods
W1983182660,2,Fourier Analysis,TRUE,
W1983182660,3,"Imaging, Three-Dimensional",TRUE,methods
W1983182660,4,Interferometry,TRUE,methods
W1983182660,5,Calibration,FALSE,
W1983182660,6,Equipment Design,FALSE,
W1983182660,7,Fiber Optic Technology,FALSE,
W1983182660,8,Fiber Optic Technology,FALSE,instrumentation
W1983182660,9,"Imaging, Three-Dimensional",FALSE,
W1983182660,10,"Imaging, Three-Dimensional",FALSE,instrumentation
W1983182660,11,Interferometry,FALSE,instrumentation
W1983182660,12,Interferometry,FALSE,
W2013484416,1,Coronary Stenosis,TRUE,physiopathology
W2013484416,2,Coronary Vessels,TRUE,physiopathology
W2013484416,3,"Models, Cardiovascular",TRUE,
W2013484416,4,Pulsatile Flow,TRUE,
W2013484416,5,Animals,FALSE,
W2013484416,6,Blood Flow Velocity,FALSE,
W2013484416,7,Blood Pressure,FALSE,
W2013484416,8,Computer Simulation,FALSE,
W2013484416,9,Coronary Stenosis,FALSE,
W2013484416,10,Coronary Vessels,FALSE,
W2013484416,11,Humans,FALSE,
W2013484416,12,Rheology,FALSE,
W2013484416,13,Rheology,FALSE,methods
W2111114510,1,Environmental Monitoring,TRUE,methods
W2111114510,2,Water Supply,TRUE,
W2111114510,3,Atmospheric Pressure,FALSE,
W2111114510,4,Environmental Monitoring,FALSE,
W2111114510,5,Virginia,FALSE,
W2111114510,6,Water Movements,FALSE,
W2082895877,1,"Spectrum Analysis, Raman",TRUE,methods
W2082895877,2,Gases,FALSE,
W2082895877,3,"Models, Theoretical",FALSE,
W2082895877,4,Physical Phenomena,FALSE,
W2082895877,5,"Spectrum Analysis, Raman",FALSE,
W2082895877,6,Temperature,FALSE,
W2082895877,7,Vibration,FALSE,
W1972329860,1,Mass Spectrometry,TRUE,methods
W1972329860,2,Molecular Imaging,TRUE,methods
W1972329860,3,Arabidopsis,FALSE,
W1972329860,4,Arabidopsis,FALSE,metabolism
W1972329860,5,Flavonols,FALSE,
W1972329860,6,Flavonols,FALSE,chemistry
W1972329860,7,Flavonols,FALSE,metabolism
W1972329860,8,Flowers,FALSE,
W1972329860,9,Flowers,FALSE,metabolism
W1972329860,10,Fourier Analysis,FALSE,
W1972329860,11,Glycosylation,FALSE,
W1972329860,12,Isomerism,FALSE,
W1972329860,13,Mass Spectrometry,FALSE,
W1972329860,14,Molecular Imaging,FALSE,
W1972329860,15,Molecular Imaging,FALSE,instrumentation
W1972329860,16,Tandem Mass Spectrometry,FALSE,
W1972329860,17,Time Factors,FALSE,
W2019889446,1,Computer Simulation,TRUE,
W2019889446,2,Gases,TRUE,chemistry
W2019889446,3,Hydrogen,TRUE,chemistry
W2019889446,4,Silanes,TRUE,chemistry
W2019889446,5,"Carbon Compounds, Inorganic",FALSE,
W2019889446,6,"Carbon Compounds, Inorganic",FALSE,chemistry
W2019889446,7,Gases,FALSE,
W2019889446,8,Hydrogen,FALSE,
W2019889446,9,Kinetics,FALSE,
W2019889446,10,Silanes,FALSE,
W2019889446,11,Silicon Compounds,FALSE,chemistry
W2019889446,12,Silicon Compounds,FALSE,
W2019889446,13,Thermodynamics,FALSE,
W2019889446,14,Volatilization,FALSE,
W2007770500,1,"Fractures, Comminuted",TRUE,pathology
W2007770500,2,"Fractures, Comminuted",TRUE,surgery
W2007770500,3,"Imaging, Three-Dimensional",TRUE,
W2007770500,4,Joints,TRUE,injuries
W2007770500,5,Computer Simulation,FALSE,
W2007770500,6,"Fractures, Comminuted",FALSE,diagnostic imaging
W2007770500,7,"Fractures, Comminuted",FALSE,
W2007770500,8,Humans,FALSE,
W2007770500,9,Joints,FALSE,surgery
W2007770500,10,Joints,FALSE,
W2007770500,11,"Models, Anatomic",FALSE,
W2007770500,12,Polyurethanes,FALSE,
W2007770500,13,"Surgery, Computer-Assisted",FALSE,
W2007770500,14,Tibial Fractures,FALSE,diagnostic imaging
W2007770500,15,Tibial Fractures,FALSE,pathology
W2007770500,16,Tibial Fractures,FALSE,
W2007770500,17,Tibial Fractures,FALSE,surgery
W2007770500,18,"Tomography, X-Ray Computed",FALSE,
W2007770500,19,User-Computer Interface,FALSE,
W2094938467,1,Cytochromes c,TRUE,chemistry
W2094938467,2,Ions,TRUE,chemistry
W2094938467,3,Protons,TRUE,
W2094938467,4,"Spectrometry, Mass, Electrospray Ionization",TRUE,methods
W2094938467,5,"Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",TRUE,methods
W2094938467,6,Animals,FALSE,
W2094938467,7,Cattle,FALSE,
W2094938467,8,Cytochromes c,FALSE,
W2094938467,9,Cytochromes c,FALSE,metabolism
W2094938467,10,Gases,FALSE,
W2094938467,11,Gases,FALSE,chemistry
W2094938467,12,Ions,FALSE,metabolism
W2094938467,13,Ions,FALSE,
W2094938467,14,Methanol,FALSE,
W2094938467,15,Methanol,FALSE,chemistry
W2094938467,16,Myocardium,FALSE,
W2094938467,17,Myocardium,FALSE,chemistry
W2094938467,18,"Spectrometry, Mass, Electrospray Ionization",FALSE,
W2094938467,19,"Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",FALSE,
W1969703812,1,Microbubbles,TRUE,
W1969703812,2,Ultrasonic Therapy,TRUE,methods
W1969703812,3,Humans,FALSE,
W1969703812,4,Mathematics,FALSE,
W1969703812,5,Pressure,FALSE,
W1969703812,6,Ultrasonic Therapy,FALSE,
W1985746738,1,Astrocytes,TRUE,chemistry
W1985746738,2,Cholesterol,TRUE,chemistry
W1985746738,3,Silver,TRUE,chemistry
W1985746738,4,"Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",TRUE,methods
W1985746738,5,Animals,FALSE,
W1985746738,6,Astrocytes,FALSE,
W1985746738,7,Astrocytes,FALSE,metabolism
W1985746738,8,Cell Membrane,FALSE,
W1985746738,9,Cell Membrane,FALSE,chemistry
W1985746738,10,Cell Membrane,FALSE,metabolism
W1985746738,11,"Cells, Cultured",FALSE,
W1985746738,12,Cholesterol,FALSE,
W1985746738,13,Cholesterol,FALSE,metabolism
W1985746738,14,Colloids,FALSE,
W1985746738,15,Hippocampus,FALSE,
W1985746738,16,Hippocampus,FALSE,cytology
W1985746738,17,Rats,FALSE,
W1985746738,18,Silver,FALSE,
W1985746738,19,"Spectrometry, Fluorescence",FALSE,
W1985746738,20,"Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",FALSE,
W2082895877,1,"Spectrum Analysis, Raman",TRUE,methods
W2082895877,2,Gases,FALSE,
W2082895877,3,"Models, Theoretical",FALSE,
W2082895877,4,Physical Phenomena,FALSE,
W2082895877,5,"Spectrum Analysis, Raman",FALSE,
W2082895877,6,Temperature,FALSE,
W2082895877,7,Vibration,FALSE,
W1972329860,1,Mass Spectrometry,TRUE,methods
