id,which_grant,funder_id,funder_name,award_id
W2160064536,1,F4320306076,National Science Foundation,CCR-0306503ACI-0325081CCF-0634902
W2160064536,2,F4320306076,National Science Foundation,CCR-9120008
W2160064536,3,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,06/53768-0
W2160064536,4,F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,302412/2004-2
W2160064536,5,F4320337387,Division of Computing and Communication Foundations,CCR-0306503ACI-0325081CCF-0634902
W2160064536,6,F4320337563,Division of Advanced Cyberinfrastructure,CCR-0306503ACI-0325081CCF-0634902
W2041938537,1,F4320321001,National Natural Science Foundation of China,90510002
W2041938537,2,F4320321001,National Natural Science Foundation of China,90210035
W2041938537,3,F4320321106,Ministry of Education of the People's Republic of China,306008
W2041938537,4,F4320335773,National High-tech Research and Development Program,2007AA05Z318
W2065615258,1,F4320306101,National Aeronautics and Space Administration,NAG3-2567
W1982138223,1,F4320306101,National Aeronautics and Space Administration,NAS5-03132
W2155383135,1,F4320306076,National Science Foundation,EAR-0215534
W2155383135,2,F4320306076,National Science Foundation,EAR-0652707
W2055172051,1,F4320306076,National Science Foundation,F49620-03-1-0057
W2055172051,2,F4320306076,National Science Foundation,CTS-0233653
W2055172051,3,F4320338279,Air Force Office of Scientific Research,F49620-03-1-0057
W2055172051,4,F4320338279,Air Force Office of Scientific Research,CTS-0233653
W2076374635,1,F4320306076,National Science Foundation,CNFS-0406415IIS-0612231CCF-0702672
W2076374635,2,F4320337387,Division of Computing and Communication Foundations,CNFS-0406415IIS-0612231CCF-0702672
W2076374635,3,F4320337389,Division of Information and Intelligent Systems,CNFS-0406415IIS-0612231CCF-0702672
W2036490943,1,F4320337387,Division of Computing and Communication Foundations,CNS-0406415IIS-0612231CCF-0702672IIS-0511965CCF-0347427
W2036490943,2,F4320337388,Division of Computer and Network Systems,CNS-0406415IIS-0612231CCF-0702672IIS-0511965CCF-0347427
W2036490943,3,F4320337389,Division of Information and Intelligent Systems,CNS-0406415IIS-0612231CCF-0702672IIS-0511965CCF-0347427
W2115185476,1,F4320320300,European Commission,NA
W2115185476,2,F4320320301,European Science Foundation,NA
W2115185476,3,F4320320365,European External Action Service,NA
W2115185476,4,F4320320883,Agence Nationale de la Recherche,NA
W2033581337,1,F4320337389,Division of Information and Intelligent Systems,IIS-0511965
W4254675780,1,F4320337387,Division of Computing and Communication Foundations,CNS-0406415IIS-0612231CCF-0702672IIS-0511965CCF-0347427
W4254675780,2,F4320337388,Division of Computer and Network Systems,CNS-0406415IIS-0612231CCF-0702672IIS-0511965CCF-0347427
W4254675780,3,F4320337389,Division of Information and Intelligent Systems,CNS-0406415IIS-0612231CCF-0702672IIS-0511965CCF-0347427
W4252055280,1,F4320306076,National Science Foundation,CNFS-0406415IIS-0612231CCF-0702672
W4252055280,2,F4320337387,Division of Computing and Communication Foundations,CNFS-0406415IIS-0612231CCF-0702672
W4252055280,3,F4320337389,Division of Information and Intelligent Systems,CNFS-0406415IIS-0612231CCF-0702672
W4246282695,1,F4320337389,Division of Information and Intelligent Systems,IIS-0511965
W2126345797,1,F4320337380,Division of Mathematical Sciences,CCF-0448399DMS-0528363DMS-0626223IIS-0713145IIS-0710819
W2126345797,2,F4320337387,Division of Computing and Communication Foundations,CCF-0448399DMS-0528363DMS-0626223IIS-0713145IIS-0710819
W2126345797,3,F4320337389,Division of Information and Intelligent Systems,CCF-0448399DMS-0528363DMS-0626223IIS-0713145IIS-0710819
W1974867140,1,F4320337345,Office of Naval Research,N000140410357
W2068251179,1,F4320332161,National Institutes of Health,1R01NS058802-01A2
W2068251179,2,F4320337388,Division of Computer and Network Systems,IIS-0713315CNS-0751045
W2068251179,3,F4320337389,Division of Information and Intelligent Systems,IIS-0713315CNS-0751045
W1977107238,1,F4320306101,National Aeronautics and Space Administration,NA
W1977107238,2,F4320308963,Oak Ridge Associated Universities,NA
W2072873342,1,F4320306101,National Aeronautics and Space Administration,NNX07-A152G
W2072873342,2,F4320320006,Royal Society,44593
W2049683407,1,F4320306076,National Science Foundation,AST04-07134
W2049683407,2,F4320306159,W. M. Keck Foundation,NA
W2011852722,1,F4320306101,National Aeronautics and Space Administration,NA
W2022545326,1,F4320306076,National Science Foundation,86-6004791
W2048968266,1,F4320306076,National Science Foundation,DMS-0609575
W2048968266,2,F4320306084,U.S. Department of Energy,DE-FG02-07ER64431
W2048968266,3,F4320320709,National Research Foundation Singapore,NRF2007IDM-IDM002-010
W2048968266,4,F4320321408,Ministry of Education,M58110011
W2161663054,1,F4320306114,U.S. Department of Agriculture,NA
W2033604800,1,F4320306076,National Science Foundation,722313
