id,which_mesh,term,is_major_topic,qualifier_name
W2059453520,1,Biomimetic Materials,TRUE,pharmacokinetics
W2059453520,2,Blood Vessels,TRUE,metabolism
W2059453520,3,Biomimetic Materials,FALSE,therapeutic use
W2059453520,4,Biomimetic Materials,FALSE,
W2059453520,5,Blood Platelets,FALSE,
W2059453520,6,Blood Vessels,FALSE,
W2059453520,7,Drug Design,FALSE,
W2059453520,8,Endothelial Cells,FALSE,metabolism
W2059453520,9,Endothelial Cells,FALSE,pathology
W2059453520,10,Endothelial Cells,FALSE,
W2059453520,11,"Endothelium, Vascular",FALSE,
W2059453520,12,Humans,FALSE,
W2059453520,13,Leukocytes,FALSE,
W2059453520,14,Nanoparticles,FALSE,
W2059453520,15,Nanoparticles,FALSE,therapeutic use
W2162753672,1,Brain Mapping,TRUE,methods
W2162753672,2,Computational Biology,TRUE,methods
W2162753672,3,In Situ Hybridization,TRUE,methods
W2162753672,4,Animals,FALSE,
W2162753672,5,Artificial Intelligence,FALSE,
W2162753672,6,Brain,FALSE,pathology
W2162753672,7,Brain,FALSE,
W2162753672,8,Brain Mapping,FALSE,
W2162753672,9,Computational Biology,FALSE,
W2162753672,10,Gene Expression Profiling,FALSE,
W2162753672,11,Humans,FALSE,
W2162753672,12,Image Enhancement,FALSE,
W2162753672,13,Image Enhancement,FALSE,methods
W2162753672,14,"Imaging, Three-Dimensional",FALSE,
W2162753672,15,In Situ Hybridization,FALSE,
W2162753672,16,Mice,FALSE,
W2162753672,17,"Models, Anatomic",FALSE,
W2162753672,18,"Models, Statistical",FALSE,
W2162753672,19,"Pattern Recognition, Automated",FALSE,methods
W2162753672,20,"Pattern Recognition, Automated",FALSE,
W2045018157,1,Electrons,TRUE,
W2045018157,2,Platinum,TRUE,chemistry
W2045018157,3,Platinum Compounds,TRUE,chemistry
W2045018157,4,"Microscopy, Atomic Force",FALSE,
W2045018157,5,Nanostructures,FALSE,chemistry
W2045018157,6,Nanostructures,FALSE,
W2045018157,7,Platinum,FALSE,
W2045018157,8,Platinum Compounds,FALSE,
W2045018157,9,Solutions,FALSE,
W2045018157,10,Solutions,FALSE,chemistry
W2145496199,1,Algorithms,TRUE,
W2145496199,2,Capsule Endoscopy,TRUE,methods
W2145496199,3,"Image Interpretation, Computer-Assisted",TRUE,methods
W2145496199,4,"Imaging, Three-Dimensional",TRUE,methods
W2145496199,5,"Pattern Recognition, Automated",TRUE,methods
W2145496199,6,Subtraction Technique,TRUE,
W2145496199,7,Capsule Endoscopy,FALSE,
W2145496199,8,Humans,FALSE,
W2145496199,9,Image Enhancement,FALSE,
W2145496199,10,Image Enhancement,FALSE,methods
W2145496199,11,"Image Interpretation, Computer-Assisted",FALSE,
W2145496199,12,"Imaging, Three-Dimensional",FALSE,
W2145496199,13,"Pattern Recognition, Automated",FALSE,
W2145496199,14,Reproducibility of Results,FALSE,
W2145496199,15,Sensitivity and Specificity,FALSE,
W2039010411,1,Algorithms,TRUE,
W2039010411,2,Data Compression,TRUE,methods
W2039010411,3,Radiographic Image Enhancement,TRUE,methods
W2039010411,4,"Radiographic Image Interpretation, Computer-Assisted",TRUE,methods
W2039010411,5,"Tomography, X-Ray Computed",TRUE,methods
W2039010411,6,Data Compression,FALSE,
W2039010411,7,Radiographic Image Enhancement,FALSE,
W2039010411,8,"Radiographic Image Interpretation, Computer-Assisted",FALSE,
W2039010411,9,Reproducibility of Results,FALSE,
W2039010411,10,Sensitivity and Specificity,FALSE,
W2039010411,11,"Tomography, X-Ray Computed",FALSE,
W2097157435,1,"Membranes, Artificial",TRUE,
W2097157435,2,Nanostructures,TRUE,chemistry
W2097157435,3,Alloys,FALSE,
W2097157435,4,Alloys,FALSE,chemistry
W2097157435,5,Kinetics,FALSE,
W2097157435,6,Materials Testing,FALSE,
W2097157435,7,Nanostructures,FALSE,
W2097157435,8,Nanotechnology,FALSE,
W2097157435,9,Particle Size,FALSE,
W2097157435,10,Surface Properties,FALSE,
W2097157435,11,Thermodynamics,FALSE,
W2085587348,1,Body Temperature,TRUE,physiology
W2085587348,2,"Models, Biological",TRUE,
W2085587348,3,Body Temperature,FALSE,
W2085587348,4,Computer Simulation,FALSE,
W2085587348,5,Energy Transfer,FALSE,physiology
W2085587348,6,Energy Transfer,FALSE,
W2085587348,7,Hot Temperature,FALSE,
W2085587348,8,"Scattering, Radiation",FALSE,
W2085587348,9,Thermodynamics,FALSE,
W1644303518,1,"Image Processing, Computer-Assisted",TRUE,methods
W1644303518,2,"Nanotubes, Carbon",TRUE,
W1644303518,3,X-Ray Microtomography,TRUE,methods
W1644303518,4,X-Ray Microtomography,TRUE,instrumentation
W1644303518,5,Algorithms,FALSE,
W1644303518,6,Animals,FALSE,
W1644303518,7,Computer Simulation,FALSE,
W1644303518,8,Feasibility Studies,FALSE,
W1644303518,9,Heart,FALSE,
W1644303518,10,Heart,FALSE,diagnostic imaging
W1644303518,11,"Image Processing, Computer-Assisted",FALSE,
W1644303518,12,Mice,FALSE,
W1644303518,13,"Phantoms, Imaging",FALSE,
W1644303518,14,Respiration,FALSE,
W1644303518,15,X-Ray Microtomography,FALSE,
W2041784109,1,Diamond,TRUE,
W2041784109,2,Geologic Sediments,TRUE,
W2041784109,3,Meteoroids,TRUE,
W2041784109,4,Animals,FALSE,
W2041784109,5,"Extinction, Biological",FALSE,
W2041784109,6,"Microscopy, Electron, Scanning Transmission",FALSE,
W2041784109,7,Nanostructures,FALSE,
W2041784109,8,North America,FALSE,
W2041784109,9,Time,FALSE,
W2049854094,1,Biomass,TRUE,
W2049854094,2,Diamond,TRUE,
W2049854094,3,"Extinction, Biological",TRUE,
W2049854094,4,Geologic Sediments,TRUE,
W2049854094,5,Ecosystem,FALSE,
W2049854094,6,"Microscopy, Electron, Transmission",FALSE,
W2051921900,1,Exobiology,TRUE,
W2051921900,2,Geologic Sediments,TRUE,chemistry
W2051921900,3,Bacteria,FALSE,
W2051921900,4,Bacteria,FALSE,ultrastructure
W2051921900,5,Desert Climate,FALSE,
W2051921900,6,Extraterrestrial Environment,FALSE,
W2051921900,7,Geologic Sediments,FALSE,
W2051921900,8,Manganese,FALSE,
W2051921900,9,Mars,FALSE,
W2051921900,10,"Microscopy, Electron, Scanning",FALSE,
W2051921900,11,Silicon Dioxide,FALSE,
W2051921900,12,Silicon Dioxide,FALSE,chemistry
W2051921900,13,Tibet,FALSE,
W2034046702,1,Microfluidic Analytical Techniques,TRUE,instrumentation
W2034046702,2,Microfluidic Analytical Techniques,TRUE,methods
W2034046702,3,Nanoparticles,TRUE,chemistry
W2034046702,4,Equipment Design,FALSE,
W2034046702,5,Microfluidic Analytical Techniques,FALSE,
W2034046702,6,"Models, Theoretical",FALSE,
W2034046702,7,Nanoparticles,FALSE,
W2034046702,8,Rheology,FALSE,
W2034046702,9,Thermodynamics,FALSE,
W2093169768,1,"Microscopy, Electron, Scanning",TRUE,methods
W2093169768,2,Nanostructures,TRUE,chemistry
W2093169768,3,Proteins,TRUE,chemistry
W2093169768,4,Animals,FALSE,
W2093169768,5,Cattle,FALSE,
W2093169768,6,"Chromatography, Gel",FALSE,
W2093169768,7,Diffusion,FALSE,
W2093169768,8,Hemoglobins,FALSE,
W2093169768,9,Hemoglobins,FALSE,chemistry
W2093169768,10,"Microscopy, Electron, Scanning",FALSE,
W2093169768,11,Nanostructures,FALSE,
W2093169768,12,Polycarboxylate Cement,FALSE,
W2093169768,13,Polycarboxylate Cement,FALSE,chemistry
W2093169768,14,Porosity,FALSE,
W2093169768,15,Proteins,FALSE,
W2093169768,16,"Serum Albumin, Bovine",FALSE,
W2093169768,17,"Serum Albumin, Bovine",FALSE,chemistry
W2034046702,1,Microfluidic Analytical Techniques,TRUE,instrumentation
W2034046702,2,Microfluidic Analytical Techniques,TRUE,methods
W2034046702,3,Nanoparticles,TRUE,chemistry
W2034046702,4,Equipment Design,FALSE,
W2034046702,5,Microfluidic Analytical Techniques,FALSE,
W2034046702,6,"Models, Theoretical",FALSE,
W2034046702,7,Nanoparticles,FALSE,
W2034046702,8,Rheology,FALSE,
W2034046702,9,Thermodynamics,FALSE,
W2093169768,1,"Microscopy, Electron, Scanning",TRUE,methods
W2093169768,2,Nanostructures,TRUE,chemistry
W2093169768,3,Proteins,TRUE,chemistry
W2093169768,4,Animals,FALSE,
W2093169768,5,Cattle,FALSE,
W2093169768,6,"Chromatography, Gel",FALSE,
W2093169768,7,Diffusion,FALSE,
W2093169768,8,Hemoglobins,FALSE,
W2093169768,9,Hemoglobins,FALSE,chemistry
W2093169768,10,"Microscopy, Electron, Scanning",FALSE,
W2093169768,11,Nanostructures,FALSE,
W2093169768,12,Polycarboxylate Cement,FALSE,
W2093169768,13,Polycarboxylate Cement,FALSE,chemistry
W2093169768,14,Porosity,FALSE,
W2093169768,15,Proteins,FALSE,
W2093169768,16,"Serum Albumin, Bovine",FALSE,
W2093169768,17,"Serum Albumin, Bovine",FALSE,chemistry
W2024536641,1,"Evolution, Chemical",TRUE,
W2024536641,2,Glycerol,TRUE,chemistry
W2024536641,3,Origin of Life,TRUE,
W2024536641,4,Biopolymers,FALSE,
W2024536641,5,Biopolymers,FALSE,chemistry
W2024536641,6,Fluoresceins,FALSE,chemistry
W2024536641,7,Fluoresceins,FALSE,
W2024536641,8,Glycerol,FALSE,
W2024536641,9,Membranes,FALSE,
W2024536641,10,"Membranes, Artificial",FALSE,
W2024536641,11,"RNA, Transfer",FALSE,chemistry
W2024536641,12,"RNA, Transfer",FALSE,
W2024536641,13,Temperature,FALSE,
W3106464125,1,Gamma Rays,TRUE,
W3106464125,2,Lasers,TRUE,
W3106464125,3,"Stars, Celestial",TRUE,
W3106464125,4,Astronomy,FALSE,
W3106464125,5,Astronomy,FALSE,instrumentation
W3106464125,6,Communication,FALSE,
W3106464125,7,Exobiology,FALSE,
W3106464125,8,Extraterrestrial Environment,FALSE,
W2045954495,1,Enzymes,TRUE,metabolism
W2045954495,2,Systems Biology,TRUE,trends
