id,which_grant,funder_id,funder_name,award_id
W2916674581,1,F4320306076,National Science Foundation,DBI 1556359
W2916674581,2,F4320306084,U.S. Department of Energy,DESC0014372
W2916674581,3,F4320308269,Alexander von Humboldt-Stiftung,NA
W2916674581,4,F4320314731,UK Research and Innovation,EP/R042578
W2916674581,5,F4320315885,Australian Government,NA
W2916674581,6,F4320319985,Cancer Research UK,NA
W2916674581,7,F4320319993,Leverhulme Trust,NA
W2916674581,8,F4320320006,Royal Society,NA
W2916674581,9,F4320320279,University of Warwick,NA
W2916674581,10,F4320320300,European Commission,964735
W2916674581,11,F4320320879,Deutsche Forschungsgemeinschaft,425217212
W2916674581,12,F4320320943,Danmarks Grundforskningsfond,NA
W2916674581,13,F4320323401,Universidad Nacional Autónoma de México,IG100521
W2916674581,14,F4320334627,Engineering and Physical Sciences Research Council,EP/S037438
W2916674581,15,F4320334704,Australian Research Council,FT180100683
W2916674581,16,F4320334764,Japan Society for the Promotion of Science,18KK0140
W2916674581,17,F4320338279,Air Force Office of Scientific Research,FA9550-18-1-0357
W2916674581,18,F4320338281,Army Research Office,W911NF-17-1-0428
W4386865468,1,F4320306076,National Science Foundation,PHY-2209145
W4386865468,2,F4320306076,National Science Foundation,PHYS-2110218
W4386865468,3,F4320306076,National Science Foundation,DE-SC0009971
W4386865468,4,F4320306076,National Science Foundation,DE-SC0013702
W4386865468,5,F4320306076,National Science Foundation,DE-FG02-93ER40773
W4386865468,6,F4320306084,U.S. Department of Energy,DE-FG02-00ER41132
W4386865468,7,F4320306101,National Aeronautics and Space Administration,DE-FG02-03ER41259
W4386865468,8,F4320306101,National Aeronautics and Space Administration,2050099
W4386865468,9,F4320306101,National Aeronautics and Space Administration,80NSSC18K1019
W4386865468,10,F4320308269,Alexander von Humboldt-Stiftung,DE-SC0020651
W4386865468,11,F4320308269,Alexander von Humboldt-Stiftung,DE-AC52-07NA27344
W4386865468,12,F4320318206,Helmholtz Graduate School for Hadron and Ion Research,NA
W4386865468,13,F4320320879,Deutsche Forschungsgemeinschaft,EXC-2094-390783311
W4386865468,14,F4320321114,Bundesministerium für Bildung und Forschung,05P19VTFC1
W4386865468,15,F4320322511,Narodowe Centrum Nauki,2021/41/B/ST2/02409
W4386865468,16,F4320322511,Narodowe Centrum Nauki,2020/38/E/ST2/00019
W4386865468,17,F4320322637,Politechnika Warszawska,IDUB-POB-FWEiTE-3
W4386865468,18,F4320332359,Office of Science,DE-SC0019209
W4386865468,19,F4320337506,Advanced Scientific Computing Research,NA
W4386865468,20,F4320337512,Nuclear Physics,DE-AC52-06NA25396
W4386865468,21,F4320337547,Laboratory Directed Research and Development,NA
W4386865468,22,F4320338304,Los Alamos National Laboratory,DE-SC0015266
W4386865468,23,F4320338304,Los Alamos National Laboratory,OAC2103680
W4386865468,24,F4320338304,Los Alamos National Laboratory,PHY2209318
W4386865468,25,F4320338304,Los Alamos National Laboratory,20220541ECR
W4386865468,26,F4320338304,Los Alamos National Laboratory,DE-SC0012447
W4386865468,27,F4320338304,Los Alamos National Laboratory,PHY1652199
W4385685002,1,F4320306084,U.S. Department of Energy,AC02-76SF00515
W4307207907,1,F4320306076,National Science Foundation,AST-1813649
W4307207907,2,F4320322795,"Ministry of Science and Technology, Taiwan",MOST 109-2112-M-018-009-MY3
W4307207907,3,F4320332377,Goddard Space Flight Center,80NSSC22K0397
W4307207907,4,F4320338087,Advanced Science Institute,15H00845
W4317808293,1,F4320308377,National Center for Atmospheric Research,URIC0004
W4323351868,1,F4320306076,National Science Foundation,DGE-2108962
W4323351868,2,F4320306101,National Aeronautics and Space Administration,HST-GO-15901
W4323351868,3,F4320306101,National Aeronautics and Space Administration,80NSSC20K0518
W4323351868,4,F4320306101,National Aeronautics and Space Administration,PF7-180164
W4323351868,5,F4320306101,National Aeronautics and Space Administration,80NSSC22K0827
W4323351868,6,F4320306101,National Aeronautics and Space Administration,19-ATP19-0020
W4323351868,7,F4320306101,National Aeronautics and Space Administration,19-ATP19-0167
W4323351868,8,F4320306101,National Aeronautics and Space Administration,HST-GO-15658
W4323351868,9,F4320306101,National Aeronautics and Space Administration,HST-AR-15809
W4323351868,10,F4320306101,National Aeronautics and Space Administration,HST-GO-16226
W4323351868,11,F4320306101,National Aeronautics and Space Administration,ATP 19-ATP19-0019
W4323351868,12,F4320306101,National Aeronautics and Space Administration,HST-AR-16159
W4323351868,13,F4320306101,National Aeronautics and Space Administration,HST-GO-15902
W4323351868,14,F4320314503,Space Telescope Science Institute,NA
W4323351868,15,F4320314731,UK Research and Innovation,MR/V023381/1
W4323351868,16,F4320334632,Science and Technology Facilities Council,ST/P002307/1
W4323351868,17,F4320334632,Science and Technology Facilities Council,ST/V50659X/1
W4323351868,18,F4320334632,Science and Technology Facilities Council,ST/R00689X/1
W4323351868,19,F4320334632,Science and Technology Facilities Council,ST/R002452/1
W4379390387,1,F4320306076,National Science Foundation,2023186
W4379390387,2,F4320306076,National Science Foundation,1558574
W4379390387,3,F4320306076,National Science Foundation,1558440
W4379390387,4,F4320306076,National Science Foundation,1559298
W4379390387,5,F4320306076,National Science Foundation,1901645
W4379390387,6,F4320306076,National Science Foundation,1559008
W4379390387,7,F4320322784,Ministry for Business Innovation and Employment,NA
W4379390387,8,F4320334631,Natural Environment Research Council,NA
W4379390387,9,F4320334896,Japan Agency for Marine-Earth Science and Technology,NA
W4386859246,1,F4320306076,National Science Foundation,EAR-1455352
W4386859246,2,F4320333065,Seventh Framework Programme,267209
W4386859246,3,F4320334678,European Research Council,678779
W4376982980,1,F4320306076,National Science Foundation,DGE1745303
W4386225193,1,F4320306101,National Aeronautics and Space Administration,80NSSC20K0518
W4386225193,2,F4320310133,Rice University,NA
W4388281358,1,F4320314817,Heising-Simons Foundation,NA
W3122942243,1,F4320306084,U.S. Department of Energy,de-sc0010107
W3122942243,2,F4320306101,National Aeronautics and Space Administration,80NSSC20K0573
W3122942243,3,F4320306101,National Aeronautics and Space Administration,80GSFC21M0002
W3122942243,4,F4320314239,Netherlands eScience Center,ETEC.2019.018
W4376129004,1,F4320306101,National Aeronautics and Space Administration,80NSSC18K0828
W4376129004,2,F4320306196,Welch Foundation,C-2035-20200401
W4387577996,1,F4320321001,National Natural Science Foundation of China,12173003
W4387577996,2,F4320335777,National Key Research and Development Program of China,2022YFA1603102 
