id,which_grant,funder_id,funder_name,award_id
W2064245664,1,F4320306076,National Science Foundation,OCE0841035
W2064245664,2,F4320306076,National Science Foundation,EAR0911442
W2064245664,3,F4320306076,National Science Foundation,EAR0757903
W2064245664,4,F4320306076,National Science Foundation,EAR0609967
W2164149559,1,F4320306076,National Science Foundation,NA
W2115157325,1,F4320314483,Kentucky Science and Engineering Foundation,NA
W2041243668,1,F4320338279,Air Force Office of Scientific Research,FA9550-08-1-0136
W1992277041,1,F4320338279,Air Force Office of Scientific Research,FA9550-08-1-0136
W2119629621,1,F4320306076,National Science Foundation,EAR-0711333
W2119629621,2,F4320321994,Hungarian Scientific Research Fund,T043686
W2025694542,1,F4320337363,National Institute of Biomedical Imaging and Bioengineering,EB002667
W2025694542,2,F4320337363,National Institute of Biomedical Imaging and Bioengineering,EB007288
W2025694542,3,F4320337363,National Institute of Biomedical Imaging and Bioengineering,EB004287
W2027195596,1,F4320306076,National Science Foundation,DMS 0809262
W1983492818,1,F4320338279,Air Force Office of Scientific Research,FA9550-08-1-0136
W2108847375,1,F4320306076,National Science Foundation,EAR-0530643
W2108847375,2,F4320306076,National Science Foundation,DMR-0325939
W2012755062,1,F4320306076,National Science Foundation,CMMI-0824741
W2002016287,1,F4320338279,Air Force Office of Scientific Research,FA9550-07-1-0273FA9550-10-1-0201
W1990423109,1,F4320337377,Office of Advanced Cyberinfrastructure,NSF CCF-0916493NSF OCI-0904397NSF DMS-0915047
W1990423109,2,F4320337380,Division of Mathematical Sciences,NSF CCF-0916493NSF OCI-0904397NSF DMS-0915047
W1990423109,3,F4320337387,Division of Computing and Communication Foundations,NSF CCF-0916493NSF OCI-0904397NSF DMS-0915047
W2015847664,1,F4320321001,National Natural Science Foundation of China,2005CB321701
W2015847664,2,F4320321001,National Natural Science Foundation of China,NCET-07-0584
W2015847664,3,F4320321001,National Natural Science Foundation of China,10771150
W2015847664,4,F4320334924,Program for New Century Excellent Talents in University,2005CB321701
W2015847664,5,F4320334924,Program for New Century Excellent Talents in University,NCET-07-0584
W2015847664,6,F4320334924,Program for New Century Excellent Talents in University,10771150
W2015847664,7,F4320335777,National Key Research and Development Program of China,2005CB321701
W2015847664,8,F4320335777,National Key Research and Development Program of China,NCET-07-0584
W2015847664,9,F4320335777,National Key Research and Development Program of China,10771150
W1999148758,1,F4320321001,National Natural Science Foundation of China,10671145
W1987164095,1,F4320306076,National Science Foundation,EAR0844772
W1987164095,2,F4320306076,National Science Foundation,EAR-0440394
W1987164095,3,F4320306076,National Science Foundation,EAR-0810231
W2141301063,1,F4320306076,National Science Foundation,9090-09
W2141301063,2,F4320306076,National Science Foundation,EAR0810231
W2082895877,1,F4320306078,U.S. Department of Defense,NA
