id,which_mesh,term,is_major_topic,qualifier_name
W2793414651,1,Carbon,TRUE,chemistry
W2793414651,2,Carbon Dioxide,TRUE,chemistry
W2793414651,3,Geologic Sediments,TRUE,chemistry
W2793414651,4,Seawater,TRUE,chemistry
W2793414651,5,Climate,FALSE,
W2793414651,6,Volcanic Eruptions,FALSE,
W1534797499,1,Computer Graphics,TRUE,standards
W1534797499,2,"Models, Biological",TRUE,
W1534797499,3,Programming Languages,TRUE,
W1534797499,4,Software,TRUE,
W1534797499,5,Synthetic Biology,TRUE,standards
W1534797499,6,Animals,FALSE,
W1534797499,7,Computer Graphics,FALSE,
W1534797499,8,Guidelines as Topic,FALSE,
W1534797499,9,Humans,FALSE,
W1534797499,10,Signal Transduction,FALSE,
W1534797499,11,Synthetic Biology,FALSE,
W2888905230,1,"Models, Chemical",TRUE,
W2888905230,2,Protein Folding,TRUE,
W2888905230,3,Proteins,TRUE,chemistry
W2888905230,4,"Protein Structure, Secondary",FALSE,
W2888905230,5,Proteins,FALSE,
W2805542125,1,Neutron Diffraction,TRUE,
W2805542125,2,Glass,FALSE,
W2805542125,3,Glass,FALSE,chemistry
W2805542125,4,"Models, Molecular",FALSE,
W2805542125,5,Nanoparticles,FALSE,
W2805542125,6,Nanoparticles,FALSE,chemistry
W2805542125,7,Time Factors,FALSE,
W2887717633,1,Aerosols,TRUE,analysis
W2887717633,2,"Air Pollutants, Occupational",TRUE,analysis
W2887717633,3,Environmental Monitoring,TRUE,instrumentation
W2887717633,4,Particle Size,TRUE,
W2887717633,5,Aerosols,FALSE,
W2887717633,6,"Air Pollutants, Occupational",FALSE,
W2887717633,7,Calibration,FALSE,
W2887717633,8,Dust,FALSE,
W2887717633,9,Dust,FALSE,analysis
W2887717633,10,Environmental Monitoring,FALSE,
W2887717633,11,Environmental Monitoring,FALSE,methods
W2887717633,12,Glass,FALSE,
W2887717633,13,Glass,FALSE,analysis
W2887717633,14,Inhalation Exposure,FALSE,
W2887717633,15,Inhalation Exposure,FALSE,analysis
W2887717633,16,"National Institute for Occupational Safety and Health, U.S.",FALSE,
W2887717633,17,United Kingdom,FALSE,
W2887717633,18,United States,FALSE,
W2905504812,1,Consummatory Behavior,TRUE,
W2905504812,2,Human Activities,TRUE,
W2905504812,3,Natural Resources,TRUE,
W2905504812,4,Humans,FALSE,
W2792431698,1,Bovine Respiratory Disease Complex,TRUE,etiology
W2792431698,2,Animals,FALSE,
W2792431698,3,"Animals, Newborn",FALSE,
W2792431698,4,Bovine Respiratory Disease Complex,FALSE,virology
W2792431698,5,Bovine Respiratory Disease Complex,FALSE,
W2792431698,6,Cattle,FALSE,
W2792431698,7,"Coronavirus, Bovine",FALSE,pathogenicity
W2792431698,8,"Coronavirus, Bovine",FALSE,
W2792431698,9,"Herpesvirus 1, Bovine",FALSE,pathogenicity
W2792431698,10,"Herpesvirus 1, Bovine",FALSE,
W2792431698,11,"Herpesvirus 4, Bovine",FALSE,pathogenicity
W2792431698,12,"Herpesvirus 4, Bovine",FALSE,
