id,which_grant,funder_id,funder_name,award_id
W3098036074,1,F4320306076,National Science Foundation,DMR-0854769
W3098036074,2,F4320306076,National Science Foundation,CHE-1110884
W3098036074,3,F4320320879,Deutsche Forschungsgemeinschaft,HA 5711/2-1
W2963899927,1,F4320338279,Air Force Office of Scientific Research,FA9550-09-1-0432
W2036860457,1,F4320321505,Generalitat de Catalunya,2009SGR006
W2036860457,2,F4320322930,Ministerio de Ciencia e Innovación,CGL2011-24101
W2036860457,3,F4320322930,Ministerio de Ciencia e Innovación,CSD2006-00041
W1860078626,1,F4320306101,National Aeronautics and Space Administration,NNX11AJ38G
W1860078626,2,F4320306101,National Aeronautics and Space Administration,NNX10AQ43G
W2052213172,1,F4320310133,Rice University,NA
W1974508606,1,F4320306076,National Science Foundation,PHY-0714603
W1981140327,1,F4320320883,Agence Nationale de la Recherche,NA
W2110333340,1,F4320332180,Defense Advanced Research Projects Agency,N66001-11-1-4090
W2110333340,2,F4320332180,Defense Advanced Research Projects Agency,N66001-11-C-4092
W2110333340,3,F4320332180,Defense Advanced Research Projects Agency,N66001-08-1-2065
W2110333340,4,F4320338279,Air Force Office of Scientific Research,FA9550-09-1-0432
W2110333340,5,F4320338286,Lawrence Livermore National Laboratory,B593154
W2014680893,1,F4320306196,Welch Foundation,NA
W1974284140,1,F4320313885,Zoetis,NA
W1973077130,1,F4320309612,Natural Science Foundation of Shanghai,11JC1403200
W1972024213,1,F4320321040,National Science Council,NA
W2132391091,1,F4320306076,National Science Foundation,DMS-0645293
W2132391091,2,F4320332161,National Institutes of Health,R01 CA-085848
W2132391091,3,F4320334593,Natural Sciences and Engineering Research Council of Canada,NA
W1934096599,1,F4320306076,National Science Foundation,AGS1042255
W1934096599,2,F4320306101,National Aeronautics and Space Administration,NNX12AJ57G
W1934096599,3,F4320306101,National Aeronautics and Space Administration,NNX13AD68G
W2158314485,1,F4320306101,National Aeronautics and Space Administration,NNX12AJ57G
W2158314485,2,F4320306101,National Aeronautics and Space Administration,NAS5-02099
W2158314485,3,F4320306101,National Aeronautics and Space Administration,NNX09AI06G
W1492428905,1,F4320334632,Science and Technology Facilities Council,ST/H002480/1
W2072995317,1,F4320306076,National Science Foundation,NSF-EAR-1201428
W2075044908,1,F4320306101,National Aeronautics and Space Administration,NNX08AD07G
W2331661511,1,F4320306076,National Science Foundation,NA
W2331661511,2,F4320306084,U.S. Department of Energy,NA
W1594879648,1,F4320306101,National Aeronautics and Space Administration,NNX13AD68G
W1594879648,2,F4320306101,National Aeronautics and Space Administration,NAS5-02099
W1555214267,1,F4320306101,National Aeronautics and Space Administration,NNX10AT02G
W1994429220,1,F4320308681,Geological Society of America,NA
W1994429220,2,F4320312559,Sigma Xia,NA
W2033872760,1,F4320306084,U.S. Department of Energy,DE-FG05-92ER40677
W2033872760,2,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",NA
W2097320584,1,F4320327912,Higher Education Discipline Innovation Project,B07050
W1960648652,1,F4320306101,National Aeronautics and Space Administration,NNX12AD25G
W1748284726,1,F4320306101,National Aeronautics and Space Administration,NNX07AT18G
W1525164703,1,F4320306101,National Aeronautics and Space Administration,NNX10AF25G
W1525164703,2,F4320306101,National Aeronautics and Space Administration,NNX07AF60G
W2172269227,1,F4320306076,National Science Foundation,NA
W2172269227,2,F4320306101,National Aeronautics and Space Administration,NA
W2045764404,1,F4320306076,National Science Foundation,EAR-0948455
W2045764404,2,F4320306076,National Science Foundation,SFB574
W2045764404,3,F4320306076,National Science Foundation,EAR-0844772
W2045764404,4,F4320320879,Deutsche Forschungsgemeinschaft,NA
W2045764404,5,F4320321114,Bundesministerium für Bildung und Forschung,NA
W2132503119,1,F4320306076,National Science Foundation,NA
W2132503119,2,F4320306101,National Aeronautics and Space Administration,NA
W2018726641,1,F4320306076,National Science Foundation,NA
W2064835792,1,F4320334924,Program for New Century Excellent Talents in University,NCET-08-0379
W2064835792,2,F4320335777,National Key Research and Development Program of China,2012CB822003
W2095557248,1,F4320306084,U.S. Department of Energy,NA
W1982943020,1,F4320306076,National Science Foundation,EAR 0710545
W1982943020,2,F4320306076,National Science Foundation,EAR-CAREER 0844772
W1982943020,3,F4320306076,National Science Foundation,EAR 0838536
W1982943020,4,F4320334704,Australian Research Council,DP0663560
W1589160124,1,F4320306076,National Science Foundation,CBET-1056006
W1589160124,2,F4320320879,Deutsche Forschungsgemeinschaft,NA
W1995002473,1,F4320306084,U.S. Department of Energy,DE-AC02-07CH11358
W2006046738,1,F4320332180,Defense Advanced Research Projects Agency,W31P4Q-13-1-0010
W2006046738,2,F4320338281,Army Research Office,W911NF-12-1-0340
W2095111733,1,F4320321001,National Natural Science Foundation of China,51276009
W2095111733,2,F4320334978,Beijing Nova Program,2008B16
W2026259519,1,F4320306084,U.S. Department of Energy,DE-AC02-07CH11358
W2026259519,2,F4320337480,Basic Energy Sciences,DE-AC02-07CH11358
W2026259519,3,F4320338483,Division of Materials Sciences and Engineering,DE-AC02-07CH11358
W1969279771,1,F4320335777,National Key Research and Development Program of China,No. 2010CB731903
W1589160124,1,F4320306076,National Science Foundation,CBET-1056006
W1589160124,2,F4320320879,Deutsche Forschungsgemeinschaft,NA
W1995002473,1,F4320306084,U.S. Department of Energy,DE-AC02-07CH11358
W2006046738,1,F4320332180,Defense Advanced Research Projects Agency,W31P4Q-13-1-0010
W2006046738,2,F4320338281,Army Research Office,W911NF-12-1-0340
W2095111733,1,F4320321001,National Natural Science Foundation of China,51276009
W2095111733,2,F4320334978,Beijing Nova Program,2008B16
W2026259519,1,F4320306084,U.S. Department of Energy,DE-AC02-07CH11358
W2026259519,2,F4320337480,Basic Energy Sciences,DE-AC02-07CH11358
W2026259519,3,F4320338483,Division of Materials Sciences and Engineering,DE-AC02-07CH11358
W1969279771,1,F4320335777,National Key Research and Development Program of China,No. 2010CB731903
W2087563892,1,F4320321001,National Natural Science Foundation of China,40974029
W2087563892,2,F4320321001,National Natural Science Foundation of China,41174048
W2087563892,3,F4320321001,National Natural Science Foundation of China,41074041
W2087563892,4,F4320338294,Air Force Research Laboratory,FA9453-11-C-0234
W2034130965,1,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",NA
W2034130965,2,F4320322832,University of Tokyo,NA
W2034130965,3,F4320334704,Australian Research Council,DP0556923
W2034130965,4,F4320334764,Japan Society for the Promotion of Science,NA
W2045764404,1,F4320306076,National Science Foundation,EAR-0948455
W2045764404,2,F4320306076,National Science Foundation,SFB574
W2045764404,3,F4320306076,National Science Foundation,EAR-0844772
W2045764404,4,F4320320879,Deutsche Forschungsgemeinschaft,NA
W2045764404,5,F4320321114,Bundesministerium für Bildung und Forschung,NA
W2042259314,1,F4320306076,National Science Foundation,PHY-0970134
W2042259314,2,F4320312931,UK Space Agency,NA
W2042259314,3,F4320320006,Royal Society,NA
W2042259314,4,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",24000004
W2042259314,5,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",21684014
W2042259314,6,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",21740184
W2042259314,7,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",22244019
W2042259314,8,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",24103006
W2042259314,9,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",22540278
W2042259314,10,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",22244030
W2042259314,11,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",24340048
W2042259314,12,F4320333065,Seventh Framework Programme,262053
W2042259314,13,F4320334764,Japan Society for the Promotion of Science,NA
W1489241497,1,F4320306101,National Aeronautics and Space Administration,NAS2-03144
W1489241497,2,F4320306101,National Aeronautics and Space Administration,NNX11AK44G
W1489241497,3,F4320306101,National Aeronautics and Space Administration,NNX12AK44G
W1981109864,1,F4320306076,National Science Foundation,NA
W2099111132,1,F4320306076,National Science Foundation,NA
W2099111132,2,F4320306084,U.S. Department of Energy,NA
W2100065276,1,F4320306084,U.S. Department of Energy,NA
W2027255231,1,F4320306076,National Science Foundation,NA
W2027255231,2,F4320306084,U.S. Department of Energy,NA
W2047394468,1,F4320313831,Comunidad de Madrid,HEPHACOS S2009/ESP-1473
W2047394468,2,F4320319880,Government of Canada,NA
W2047394468,3,F4320322676,University of Waterloo,NA
W2047394468,4,F4320332623,Institut sur la Nutrition et les Aliments Fonctionnels,NA
W2044989619,1,F4320308681,Geological Society of America,NA
W2044989619,2,F4320312836,Southern California Earthquake Center,1829
W2044989619,3,F4320332183,U.S. Geological Survey,G12AC20038
W2087049423,1,F4320306076,National Science Foundation,NA
W2087049423,2,F4320306084,U.S. Department of Energy,NA
W2117078172,1,F4320306101,National Aeronautics and Space Administration,NNX08AL43G
W2117078172,2,F4320306101,National Aeronautics and Space Administration,NNA09DB30A
W2117078172,3,F4320306164,Simons Foundation,NA
W2117078172,4,F4320321876,Fritz Thyssen Stiftung,NA
W2031760064,1,F4320307102,Intel Corporation,NA
W2031760064,2,F4320307786,Adobe Systems,NA
W2031760064,3,F4320309327,Google,NA
W2031760064,4,F4320334593,Natural Sciences and Engineering Research Council of Canada,NA
W2031760064,5,F4320334960,Seventh Framework Programme,303541
W2031760064,6,F4320337387,Division of Computing and Communication Foundations,"CCF-0937139, CNS-0831374)"
W2031760064,7,F4320337388,Division of Computer and Network Systems,"CCF-0937139, CNS-0831374)"
W1993291303,1,F4320306076,National Science Foundation,NA
W1993291303,2,F4320306084,U.S. Department of Energy,NA
W3099523836,1,F4320306084,U.S. Department of Energy,DE-SC0008626
W2068112287,1,F4320337387,Division of Computing and Communication Foundations,CCF-1012147
W2088749022,1,F4320306076,National Science Foundation,NA
W1483545773,1,F4320306076,National Science Foundation,NA
W2042267332,1,F4320306084,U.S. Department of Energy,DE-SC0001198
W2049547388,1,F4320306084,U.S. Department of Energy,NA
W2049547388,2,F4320306101,National Aeronautics and Space Administration,NA
W2033418923,1,F4320306076,National Science Foundation,NA
W1965259043,1,F4320307786,Adobe Systems,NA
W1871089242,1,F4320306101,National Aeronautics and Space Administration,NNX07AG42G
W1871089242,2,F4320306101,National Aeronautics and Space Administration,NNX09AQ41H
W1871089242,3,F4320306101,National Aeronautics and Space Administration,NNH09AK63I
W1871089242,4,F4320306101,National Aeronautics and Space Administration,NNH11AR07I
W1871089242,5,F4320306101,National Aeronautics and Space Administration,NNX11AJ12G
W1871089242,6,F4320306101,National Aeronautics and Space Administration,NNH09AM53I
W2140920862,1,F4320306084,U.S. Department of Energy,DE-FG03-84ER40168
W2140920862,2,F4320306084,U.S. Department of Energy,DE-FG02-91ER40671
W2140920862,3,F4320319880,Government of Canada,NA
W2125210515,1,F4320306101,National Aeronautics and Space Administration,NAS5-26555
W2605140584,1,F4320306084,U.S. Department of Energy,NA
W2605140584,2,F4320306101,National Aeronautics and Space Administration,NA
W1545648192,1,F4320306076,National Science Foundation,NA
W2079793877,1,F4320321001,National Natural Science Foundation of China,51121092
W2079793877,2,F4320321001,National Natural Science Foundation of China,51136005
W2079793877,3,F4320321106,Ministry of Education of the People's Republic of China,20120201120067
W2079793877,4,F4320335777,National Key Research and Development Program of China,2013CB228406
W2327501569,1,F4320306076,National Science Foundation,NA
W1997568954,1,F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,NA
W2320188586,1,F4320306076,National Science Foundation,NA
W2266385688,1,F4320306084,U.S. Department of Energy,DE-FG02-04-ER46108
W2044567046,1,F4320306076,National Science Foundation,NA
W1535442045,1,F4320306076,National Science Foundation,EAR‐0911378
W2123832723,1,F4320306076,National Science Foundation,EAR‐0911378
W2123832723,2,F4320335353,National Science Foundation of Sri Lanka,EAR‐0732947
W2123832723,3,F4320335353,National Science Foundation of Sri Lanka,EAR‐0350028
W2333802601,1,F4320306076,National Science Foundation,NA
W3104989798,1,F4320306084,U.S. Department of Energy,DE-AC02-09CH11466
W2084483025,1,F4320306084,U.S. Department of Energy,NA
W2005637114,1,F4320306101,National Aeronautics and Space Administration,NA
W2010406437,1,F4320333450,National Energy Technology Laboratory,NA
W2019294029,1,F4320306084,U.S. Department of Energy,DE-AC02-09CH11466
W1964680303,1,F4320306076,National Science Foundation,NA
W1964680303,2,F4320306101,National Aeronautics and Space Administration,NA
W2962783704,1,F4320320774,Royal Society Te Apārangi,10-UOA-113
W2168329757,1,F4320306076,National Science Foundation,NA
W2168329757,2,F4320306084,U.S. Department of Energy,NA
W2168329757,3,F4320306101,National Aeronautics and Space Administration,NA
W2025217141,1,F4320306076,National Science Foundation,DMS-1104047
W2025217141,2,F4320337345,Office of Naval Research,NA
W2025233860,1,F4320321001,National Natural Science Foundation of China,NSFC-11075162
W2031176975,1,F4320306084,U.S. Department of Energy,NA
W2082856237,1,F4320306076,National Science Foundation,NA
W2082856237,2,F4320306084,U.S. Department of Energy,NA
W1922613229,1,F4320306101,National Aeronautics and Space Administration,NNH09AM53I
W1922613229,2,F4320306101,National Aeronautics and Space Administration,NNH11AR071
W1922613229,3,F4320306101,National Aeronautics and Space Administration,NNH09AK63I
W1984552517,1,F4320306076,National Science Foundation,ATM0902730
W1984552517,2,F4320306084,U.S. Department of Energy,DE-AC02-09CH11466
W2325357635,1,F4320306084,U.S. Department of Energy,NA
W1978195292,1,F4320306076,National Science Foundation,NA
W2069209249,1,F4320306076,National Science Foundation,NA
W2069209249,2,F4320306084,U.S. Department of Energy,NA
W1964677968,1,F4320306101,National Aeronautics and Space Administration,NA
W1986861197,1,F4320306084,U.S. Department of Energy,DE-AC02-09CH11466
W2320643645,1,F4320306084,U.S. Department of Energy,NA
W1976785043,1,F4320306076,National Science Foundation,PHY-0855887
W1976785043,2,F4320306076,National Science Foundation,PHY-1214379
W1976785043,3,F4320306076,National Science Foundation,AST-0965625
W2010703646,1,F4320337377,Office of Advanced Cyberinfrastructure,OCI-0832614
W2079343800,1,F4320320300,European Commission,227431
W2079343800,2,F4320321042,Fundacja na rzecz Nauki Polskiej,NA
W2079343800,3,F4320322511,Narodowe Centrum Nauki,DEC-2011/03/N/ST2/02641
W2079343800,4,F4320322511,Narodowe Centrum Nauki,0309/B/H03/2011/40
W2079343800,5,F4320322511,Narodowe Centrum Nauki,0469/B/H03/2009/37
W2079343800,6,F4320322511,Narodowe Centrum Nauki,2011/01/D/ST2/00748
W2299104082,1,F4320306076,National Science Foundation,NA
W2299104082,2,F4320306084,U.S. Department of Energy,NA
W2299104082,3,F4320306101,National Aeronautics and Space Administration,NA
W1976818948,1,F4320306084,U.S. Department of Energy,NA
W1483545773,1,F4320306076,National Science Foundation,NA
W1590349367,1,F4320321001,National Natural Science Foundation of China,NSFC41130311
W2101335329,1,F4320308269,Alexander von Humboldt-Stiftung,NA
W2101335329,2,F4320308445,American Roentgen Ray Society,NA
W2101335329,3,F4320309955,"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)",NA
W2101335329,4,F4320312062,Türkiye Atom Enerjisi Kurumu,NA
W2101335329,5,F4320312887,Arizona-Nevada Academy of Science,NA
W2101335329,6,F4320313521,TRIUMF,NA
W2101335329,7,F4320313559,CERN,NA
W2101335329,8,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",NA
W2101335329,9,F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,NA
W2101335329,10,F4320320943,Danmarks Grundforskningsfond,NA
W2101335329,11,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,NA
W2101335329,12,F4320321001,National Natural Science Foundation of China,NA
W2101335329,13,F4320321917,General Secretariat for Research and Technology,NA
W2101335329,14,F4320321999,Lundbeckfonden,NA
W2101335329,15,F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NA
W2101335329,16,F4320322189,Joint Institute for Nuclear Research,NA
W2101335329,17,F4320322733,Ministerstwo Edukacji i Nauki,NA
W2101335329,18,F4320322930,Ministerio de Ciencia e Innovación,NA
W2101335329,19,F4320323771,Centre National pour la Recherche Scientifique et Technique,NA
W2101335329,20,F4320324190,Bundesministerium für Wissenschaft und Forschung,NA
W2101335329,21,F4320325306,State Atomic Energy Corporation ROSATOM,NA
W2101335329,22,F4320327234,"Services Fédéraux des Affaires Scientifiques, Techniques et Culturelles",NA
W2101335329,23,F4320334593,Natural Sciences and Engineering Research Council of Canada,NA
W2101335329,24,F4320334632,Science and Technology Facilities Council,NA
W2101335329,25,F4320334832,Agencia Nacional de Promoción Científica y Tecnológica,NA
W2047124882,1,F4320306076,National Science Foundation,NA
W2124129034,1,F4320306084,U.S. Department of Energy,KJCX2-SW-N03
W2124129034,2,F4320306084,U.S. Department of Energy,DE-AC02-98CH10886
W2124129034,3,F4320306084,U.S. Department of Energy,41004035
W2124129034,4,F4320306084,U.S. Department of Energy,41374107
W2124129034,5,F4320306084,U.S. Department of Energy,41274105
W2124129034,6,F4320306084,U.S. Department of Energy,KJCX2-SW-N20
W2124129034,7,F4320321001,National Natural Science Foundation of China,KJCX2-SW-N03
W2124129034,8,F4320321001,National Natural Science Foundation of China,DE-AC02-98CH10886
W2124129034,9,F4320321001,National Natural Science Foundation of China,41004035
W2124129034,10,F4320321001,National Natural Science Foundation of China,41374107
W2124129034,11,F4320321001,National Natural Science Foundation of China,41274105
W2124129034,12,F4320321001,National Natural Science Foundation of China,KJCX2-SW-N20
W2124129034,13,F4320321133,Chinese Academy of Sciences,KJCX2-SW-N03
W2124129034,14,F4320321133,Chinese Academy of Sciences,DE-AC02-98CH10886
W2124129034,15,F4320321133,Chinese Academy of Sciences,41004035
W2124129034,16,F4320321133,Chinese Academy of Sciences,41374107
W2124129034,17,F4320321133,Chinese Academy of Sciences,41274105
W2124129034,18,F4320321133,Chinese Academy of Sciences,KJCX2-SW-N20
W1973295268,1,F4320322252,Israel Science Foundation,221/07
W1973295268,2,F4320322252,Israel Science Foundation,203134
W1973295268,3,F4320322252,Israel Science Foundation,93/11
W1973295268,4,F4320334678,European Research Council,221/07
W1973295268,5,F4320334678,European Research Council,203134
W1973295268,6,F4320334678,European Research Council,93/11
W1984367308,1,F4320321505,Generalitat de Catalunya,2009SGR502
W2105615616,1,F4320306076,National Science Foundation,NA
W2049103506,1,F4320306076,National Science Foundation,NA
W2134420522,1,F4320308269,Alexander von Humboldt-Stiftung,NA
W2134420522,2,F4320308445,American Roentgen Ray Society,NA
W2134420522,3,F4320309955,"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)",NA
W2134420522,4,F4320312062,Türkiye Atom Enerjisi Kurumu,NA
W2134420522,5,F4320312887,Arizona-Nevada Academy of Science,NA
W2134420522,6,F4320313521,TRIUMF,NA
W2134420522,7,F4320313559,CERN,NA
W2134420522,8,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",NA
W2134420522,9,F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,NA
W2134420522,10,F4320320943,Danmarks Grundforskningsfond,NA
W2134420522,11,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,NA
W2134420522,12,F4320321001,National Natural Science Foundation of China,NA
W2134420522,13,F4320321917,General Secretariat for Research and Technology,NA
W2134420522,14,F4320321999,Lundbeckfonden,NA
W2134420522,15,F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NA
W2134420522,16,F4320322189,Joint Institute for Nuclear Research,NA
W2134420522,17,F4320322733,Ministerstwo Edukacji i Nauki,NA
W2134420522,18,F4320322899,Georgian National Science Foundation,NA
W2134420522,19,F4320322930,Ministerio de Ciencia e Innovación,NA
W2134420522,20,F4320323771,Centre National pour la Recherche Scientifique et Technique,NA
W2134420522,21,F4320324190,Bundesministerium für Wissenschaft und Forschung,NA
W2134420522,22,F4320325306,State Atomic Energy Corporation ROSATOM,NA
W2134420522,23,F4320327234,"Services Fédéraux des Affaires Scientifiques, Techniques et Culturelles",NA
W2134420522,24,F4320334593,Natural Sciences and Engineering Research Council of Canada,NA
W2134420522,25,F4320334632,Science and Technology Facilities Council,NA
W2134420522,26,F4320334832,Agencia Nacional de Promoción Científica y Tecnológica,NA
W2028914305,1,F4320306076,National Science Foundation,NA
W2164946572,1,F4320321001,National Natural Science Foundation of China,"61190120, 61190121, 61190125"
W2164946572,2,F4320337389,Division of Information and Intelligent Systems,"IIS-0949467, IIS-1047715, IIS-1049448"
W2076155924,1,F4320321001,National Natural Science Foundation of China,41274181
W2076155924,2,F4320322725,China Scholarship Council,NA
W2076155924,3,F4320322815,"China University of Geosciences, Wuhan",100703
W2076155924,4,F4320335787,Fundamental Research Funds for the Central Universities,NA
W1979627947,1,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,2010/02716-5
W1979627947,2,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,03/08655-4
W1979627947,3,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,475299/2003-5
W1979627947,4,F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NA
W1979627947,5,F4320332373,Kennedy Space Center,NNK06EB55G
W1621145479,1,F4320323826,Chengdu University of Technology,EAR-1014594
W1621145479,2,F4320323826,Chengdu University of Technology,40972165
W1621145479,3,F4320323826,Chengdu University of Technology,GZ2006-07
W1621145479,4,F4320326848,State Key Laboratory of Geohazard Prevention and Geoenvironment Protection,NA
W1621145479,5,F4320335777,National Key Research and Development Program of China,2010CB428802
W2108221679,1,F4320332183,U.S. Geological Survey,NA
W1502202890,1,F4320334632,Science and Technology Facilities Council,P209/12/2023
W2153725120,1,F4320331934,NASA Astrobiology Institute,NA
W2146646369,1,F4320306076,National Science Foundation,NA
W2132391091,1,F4320306076,National Science Foundation,DMS-0645293
W2132391091,2,F4320332161,National Institutes of Health,R01 CA-085848
W2132391091,3,F4320334593,Natural Sciences and Engineering Research Council of Canada,NA
W2024748895,1,F4320306101,National Aeronautics and Space Administration,JPL 1452240
W2070008755,1,F4320306101,National Aeronautics and Space Administration,NNX10AP64G
W2070008755,2,F4320334436,Canadian Space Agency,NA
W2070008755,3,F4320334593,Natural Sciences and Engineering Research Council of Canada,NA
W2027919910,1,F4320306076,National Science Foundation,NA
W2095967352,1,F4320322725,China Scholarship Council,NA
W2031976247,1,F4320332178,National Institute of Standards and Technology,#60NANB10D010
W1980084706,1,F4320306078,U.S. Department of Defense,ER‐201125
W2100446215,1,F4320306101,National Aeronautics and Space Administration,09AD98G
W2100446215,2,F4320308963,Oak Ridge Associated Universities,NA
W2103027487,1,F4320306084,U.S. Department of Energy,NA
W1773452563,1,F4320306101,National Aeronautics and Space Administration,NAS5-97271
W1979197200,1,F4320306101,National Aeronautics and Space Administration,NA
W1979197200,2,F4320322256,Agenzia Spaziale Italiana,NA
W1990070308,1,F4320306076,National Science Foundation,EAR-0230359
W1990070308,2,F4320306076,National Science Foundation,EAR-0409423
W1597522418,1,F4320306101,National Aeronautics and Space Administration,NNX08AR16G
W1597522418,2,F4320306101,National Aeronautics and Space Administration,NNX07AJ80G
W2049252449,1,F4320306101,National Aeronautics and Space Administration,NNX11AO64G
W2049252449,2,F4320306101,National Aeronautics and Space Administration,NNX10AF24G
W1979596635,1,F4320306076,National Science Foundation,CCF-0963726
W1936879370,1,F4320321040,National Science Council,101-2116-M-001-038-MY3
W2016215169,1,F4320337345,Office of Naval Research,N000141210724
W2035153947,1,F4320306101,National Aeronautics and Space Administration,NA
W2153002830,1,F4320321001,National Natural Science Foundation of China,91130010
W2328657765,1,F4320306076,National Science Foundation,NA
W2081778349,1,F4320306084,U.S. Department of Energy,NA
W2081778349,2,F4320332353,Office of Fossil Energy,NA
W2020111086,1,F4320306076,National Science Foundation,NSF-CCF-0914353
W1987985833,1,F4320306076,National Science Foundation,NA
W1987985833,2,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,NA
W1987985833,3,F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NA
W2105618776,1,F4320320847,Science Foundation Ireland,09-RFP-AST-2400
W2052847987,1,F4320306076,National Science Foundation,CMMI-1000667
