id,which_grant,funder_id,funder_name,award_id
W2313470902,1,F4320306076,National Science Foundation,NA
W1986800839,1,F4320321540,Ministry of Science and Technology of the People's Republic of China,2010DFA92720
W1974156473,1,F4320306076,National Science Foundation,EAR-0510092
W1974156473,2,F4320306076,National Science Foundation,EAR-0838391
W1968276785,1,F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NA
W1968276785,2,F4320338279,Air Force Office of Scientific Research,NA
W1968276785,3,F4320338294,Air Force Research Laboratory,NA
W2568552169,1,F4320322930,Ministerio de Ciencia e Innovación,TIN2010-20967-C04-02
W2568552169,2,F4320334593,Natural Sciences and Engineering Research Council of Canada,NA
W2167134090,1,F4320311089,National Security Agency,H98230-09-1-0065
W2038817877,1,F4320332180,Defense Advanced Research Projects Agency,NA
W1988578917,1,F4320309893,City University of Hong Kong,StUp-7200170
W1988578917,2,F4320309893,City University of Hong Kong,SRG-7002625
W1988578917,3,F4320309893,City University of Hong Kong,SRG-7002518
W1971796831,1,F4320309893,City University of Hong Kong,SRG-7002625
W1971796831,2,F4320309893,City University of Hong Kong,7200170
W1987248861,1,F4320306076,National Science Foundation,0849982
W1987248861,2,F4320306076,National Science Foundation,0830976
W2045876324,1,F4320306076,National Science Foundation,NA
W2045876324,2,F4320338279,Air Force Office of Scientific Research,NA
W2046862913,1,F4320321040,National Science Council,99-2410-H-002-261100-2410-H-002-025-MY3100-2420-H-002-028-MY2
W2046862913,2,F4320332186,Defense Threat Reduction Agency,HDTRA-09-0058
W2046862913,3,F4320337388,Division of Computer and Network Systems,CNS-0709338CBET-0730908
W2046862913,4,F4320337390,"Division of Chemical, Bioengineering, Environmental, and Transport Systems",CNS-0709338CBET-0730908
W2038873713,1,F4320332180,Defense Advanced Research Projects Agency,NA
W2038873713,2,F4320338279,Air Force Office of Scientific Research,NA
W2038873713,3,F4320338281,Army Research Office,NA
W2067210403,1,F4320306076,National Science Foundation,NA
W2027600279,1,F4320337401,Division of Emerging Frontiers,EF 0849982
W2166993820,1,F4320337387,Division of Computing and Communication Foundations,CCF-1149391CCF-1117902CCF-1043810
W2033169180,1,F4320306076,National Science Foundation,CHE-0645497
W2033169180,2,F4320320879,Deutsche Forschungsgemeinschaft,MU 987/4-2
W2011292911,1,F4320306076,National Science Foundation,NA
W1894854653,1,F4320306084,U.S. Department of Energy,NA
W2074221157,1,F4320306110,U.S. Department of Homeland Security,2006-CS-001-000001-02
W2074221157,2,F4320337388,Division of Computer and Network Systems,CNS-0716199CNS-0915361CNS-0952692
W2123220471,1,F4320310164,Texas A and M University,NA
W2123220471,2,F4320337346,National Institute of Mental Health,Grant MH077708
W3123984984,1,F4320324681,Max-Planck-Institut für Physik Komplexer Systeme,NA
W2331993580,1,F4320306076,National Science Foundation,NA
W2027412380,1,F4320309840,Baylor University,NA
W2128636284,1,F4320337387,Division of Computing and Communication Foundations,CCF-0830756CCF-1018060
W2148553714,1,F4320334779,Fundação para a Ciência e a Tecnologia,UTAustin/CA/0056/2008
W2148553714,2,F4320334779,Fundação para a Ciência e a Tecnologia,SFRH/BD/47800/2008
W2148553714,3,F4320337368,Division of Graduate Education,CCF 0724979CNS 0509338CCF-0917167DGE-1110007
W2148553714,4,F4320337387,Division of Computing and Communication Foundations,CCF 0724979CNS 0509338CCF-0917167DGE-1110007
W2148553714,5,F4320337388,Division of Computer and Network Systems,CCF 0724979CNS 0509338CCF-0917167DGE-1110007
