id,which_grant,funder_id,funder_name,award_id
W4296251269,1,F4320321001,National Natural Science Foundation of China,62006089
W4296251269,2,F4320337111,Basic and Applied Basic Research Foundation of Guangdong Province,2021A1515110321
W4281478490,1,F4320306076,National Science Foundation,AST-0950945
W4281478490,2,F4320306084,U.S. Department of Energy,DE-AC02-05CH11231
W4286602833,1,F4320332161,National Institutes of Health,NS111929
W4286602833,2,F4320332161,National Institutes of Health,NS102161
W4296689314,1,F4320306076,National Science Foundation,1451075
W4296689314,2,F4320306084,U.S. Department of Energy,R01AB123456
W4296689314,3,F4320306196,Welch Foundation,AT-0029
W4296689314,4,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,2020/02044-9
W4296689314,5,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,2013/08293-7
W4296689314,6,F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NA
W4296689314,7,F4320323854,Universidade Estadual de Campinas,NA
W4210435842,1,F4320306084,U.S. Department of Energy,DE-AC36-08GO28308
W4210435842,2,F4320338290,National Renewable Energy Laboratory,NA
W4226089733,1,F4320321563,"Canadian HIV Trials Network, Canadian Institutes of Health Research",FDN159906
W4226089733,2,F4320337359,National Institute of Neurological Disorders and Stroke,NS102161
W4226089733,3,F4320337359,National Institute of Neurological Disorders and Stroke,NS104200
W4226089733,4,F4320337359,National Institute of Neurological Disorders and Stroke,NS065926
W4213034541,1,F4320335787,Fundamental Research Funds for the Central Universities,NA
W4307715067,1,F4320306196,Welch Foundation,AT-0041
W4307715067,2,F4320337354,National Institute of General Medical Sciences,GM120281
W4307715067,3,F4320337393,Division of Chemistry,CHE-1955663
W4225261456,1,F4320332161,National Institutes of Health,NA
W4225261456,2,F4320337376,NIH Clinical Center,1ZIACL090033-08 and 1ZIACL090035-07
W4225261456,3,F4320337544,"Office of Extramural Research, National Institutes of Health",NS111929
W4229058965,1,F4320321001,National Natural Science Foundation of China,51773094
W4229058965,2,F4320321001,National Natural Science Foundation of China,52090034
W4229058965,3,F4320321001,National Natural Science Foundation of China,51973093
W4229058965,4,F4320335777,National Key Research and Development Program of China,2019YFE0119600
W4229058965,5,F4320335787,Fundamental Research Funds for the Central Universities,62502510601
W4229058965,6,F4320335787,Fundamental Research Funds for the Central Universities,63171219
W4213300278,1,F4320306147,Brain and Behavior Research Foundation,NARSAD Young Investigator Award #27305
W4213300278,2,F4320310627,Oklahoma Center for the Advancement of Science and Technology,#HR18-139
W4210584319,1,F4320322887,The Research Council,BFP/RGP/HSS/20/274
W4313066240,1,F4320321001,National Natural Science Foundation of China,61901490
W4313066240,2,F4320321001,National Natural Science Foundation of China,62201592
W4313066240,3,F4320321543,China Postdoctoral Science Foundation,2020M682345
W4313066240,4,F4320322120,National Research Foundation of Korea,2022R1A5A1027646
W4313066240,5,F4320334627,Engineering and Physical Sciences Research Council,EP/P03456X/1
W4226147786,1,F4320321001,National Natural Science Foundation of China,11890701
W4226147786,2,F4320321001,National Natural Science Foundation of China,12104346
W4226147786,3,F4320321001,National Natural Science Foundation of China,12004287
W4226147786,4,F4320321543,China Postdoctoral Science Foundation,2020M680107
W4226147786,5,F4320329867,Ten Thousand Talent Plans for Young Top-notch Talents of Yunnan Province,NA
W4226147786,6,F4320335768,National Postdoctoral Program for Innovative Talents,BX20200258
W4286449685,1,F4320322887,The Research Council,BFP/RGP/HSS/20/274
W4220986898,1,F4320306076,National Science Foundation,1929677
W4220986898,2,F4320306076,National Science Foundation,2044348
W4220986898,3,F4320306076,National Science Foundation,2018188
W4220986898,4,F4320327708,University of Texas at Dallas,NA
W4220986898,5,F4320338281,Army Research Office,W911NF1910416
W4296906805,1,F4320321739,Consejo Nacional de Ciencia y Tecnología,NA
W4296906805,2,F4320327708,University of Texas at Dallas,NA
W4296906805,3,F4320332163,U.S. Food and Drug Administration,NA
W4296906805,4,F4320332454,American Chemical Society Petroleum Research Fund,PRF#61360- ND10
W4296906805,5,F4320338295,Army Research Laboratory,W911NF-18-2-0035
W4293093624,1,F4320321001,National Natural Science Foundation of China,62073300
W4293093624,2,F4320321001,National Natural Science Foundation of China,62076225
W4290672692,1,F4320306076,National Science Foundation,DMR-1945420
W4290672692,2,F4320306076,National Science Foundation,PHY-2110212
W4290672692,3,F4320306076,National Science Foundation,DMR-1955889
W4290672692,4,F4320306076,National Science Foundation,DMR-2104902
W4290672692,5,F4320306076,National Science Foundation,DMR-2104805
W4290672692,6,F4320306084,U.S. Department of Energy,DE-FG02-07ER46451
W4290672692,7,F4320338279,Air Force Office of Scientific Research,FA9550-20-1-0179
W4298127660,1,F4320306196,Welch Foundation,AT-2030-20200401
W4298127660,2,F4320307572,Foundation for Women's Wellness,NA
W4298127660,3,F4320315590,Foundation for Women’s Wellness,NA
W4298127660,4,F4320332161,National Institutes of Health,1R01DK131267-01
W4298127660,5,F4320337813,"Genome Center, University of California, Davis",NA
W4226135175,1,F4320311020,Shanghai Academy of Spaceflight Technology,SAST2020124
W4226135175,2,F4320321001,National Natural Science Foundation of China,62031012
W4226135175,3,F4320321001,National Natural Science Foundation of China,62071223
W4226135175,4,F4320321001,National Natural Science Foundation of China,61901379
W4226135175,5,F4320321001,National Natural Science Foundation of China,62001387
W4226135175,6,F4320326705,"Science, Technology and Innovation Commission of Shenzhen Municipality",JCYJ20190806160218174
W4226135175,7,F4320335777,National Key Research and Development Program of China,2020YFB1807003
W4226135175,8,F4320336350,Key Research and Development Projects of Shaanxi Province,2022KW-07
W4289836199,1,F4320306571,American Society of Hematology,NA
W4289836199,2,F4320307844,European Molecular Biology Organization,ALTF 742-2020
W4289836199,3,F4320308295,Leukemia and Lymphoma Society,NA
W4289836199,4,F4320308842,Leukemia Research Foundation,NA
W4289836199,5,F4320308906,St. Baldrick's Foundation,581357
W4289836199,6,F4320313817,"Clinical and Translational Science Institute, New York University",TL1TR001447
W4289836199,7,F4320316230,Pelotonia,NA
W4289836199,8,F4320317661,Gilead Research Scholars,NA
W4289836199,9,F4320337354,National Institute of General Medical Sciences,R01GM108583
W4283392848,1,F4320320847,Science Foundation Ireland,IvP 13/IA/1894
W4283392848,2,F4320321056,Irish Research Council,GOIPG/2016/1250
W4283392848,3,F4320332161,National Institutes of Health,K99CA215301
W4283392848,4,F4320332161,National Institutes of Health,R01CA160998
W4283392848,5,F4320332161,National Institutes of Health,S10OD012326
W4283392848,6,F4320332161,National Institutes of Health,R00CA215301
W4283392848,7,F4320332161,National Institutes of Health,R01CA156177
W4283392848,8,F4320332161,National Institutes of Health,P01CA084203
W4220747033,1,F4320306076,National Science Foundation,DMR- 2003534
W4220747033,2,F4320306076,National Science Foundation,DMR-1654405
W4220747033,3,F4320306196,Welch Foundation,AT-1989-20190330
W4220747033,4,F4320306196,Welch Foundation,AT-2060-20210327
W4220747033,5,F4320337354,National Institute of General Medical Sciences,R35GM128923
W4220747033,6,F4320338295,Army Research Laboratory,W911NF-18-2-0035
W4220665810,1,F4320306101,National Aeronautics and Space Administration,80NSSC21K1320
W4220665810,2,F4320306101,National Aeronautics and Space Administration,80NSSC20K1578
W4220665810,3,F4320306101,National Aeronautics and Space Administration,80NSSC21K1688
W4220665810,4,F4320337402,Division of Atmospheric and Geospace Sciences,NSF‐2021749
W4220665810,5,F4320337402,Division of Atmospheric and Geospace Sciences,AGS‐2019950
W4220665810,6,F4320337402,Division of Atmospheric and Geospace Sciences,AGS‐2021749
W4220665810,7,F4320337402,Division of Atmospheric and Geospace Sciences,AGS‐1242918
W4220665810,8,F4320338279,Air Force Office of Scientific Research,FA9453‐12‐D‐0285
W4295733305,1,F4320306076,National Science Foundation,2021311125
W4295733305,2,F4320306076,National Science Foundation,2020307514
W4295733305,3,F4320306084,U.S. Department of Energy,NA
W4295733305,4,F4320310620,University of Texas at Austin,NA
W4295733305,5,F4320317531,Texas Materials Institute,NA
W4295733305,6,F4320338291,Sandia National Laboratories,NA
W4206943292,1,F4320306076,National Science Foundation,NA
W4206943292,2,F4320307801,Texas Instruments,NA
W4296804163,1,F4320306151,Alfred P. Sloan Foundation,NA
W4296804163,2,F4320306159,W. M. Keck Foundation,NA
W4296804163,3,F4320337367,Division of Materials Research,DMREF-1921581
W4296804163,4,F4320337367,Division of Materials Research,DMR-174774
W4296804163,5,F4320338279,Air Force Office of Scientific Research,FA9550-21-1-0065
W4296804163,6,F4320338279,Air Force Office of Scientific Research,FA9550-19-1-0037
W4296804163,7,F4320338281,Army Research Office,W911NF-22-1-0056
W4220962655,1,F4320308258,Qualcomm,NA
W4220962655,2,F4320321001,National Natural Science Foundation of China,61771373
W4220962655,3,F4320321543,China Postdoctoral Science Foundation,2020M683428
W4220962655,4,F4320334704,Australian Research Council,DP210102169
W4220962655,5,F4320335787,Fundamental Research Funds for the Central Universities,JB211506
W4220962655,6,F4320336125,National Science Fund for Distinguished Young Scholars,61825104
W4283070274,1,F4320337338,"National Heart, Lung, and Blood Institute",R01‐HL‐102457
W4309922687,1,F4320331528,Ministero dell'Università e della Ricerca,“Departments of Excellence” grant L.232/2016
W3198258210,1,F4320306076,National Science Foundation,PHY-2110212
W3198258210,2,F4320306084,U.S. Department of Energy,DE-SC0022069
W3198258210,3,F4320338279,Air Force Office of Scientific Research,FA9550-20-1-0220
W3198258210,4,F4320338279,Air Force Office of Scientific Research,FA9550-22-1-0043
W3198258210,5,F4320338281,Army Research Office,W911NF17-1-0128
W4293229172,1,F4320313589,Coins for Alzheimer's Research Trust,NA
W4293229172,2,F4320315284,Hope Center for Neurological Disorders,NA
W4293229172,3,F4320332161,National Institutes of Health,NA
W4293229172,4,F4320337337,National Institute on Aging,K99AG061231
W4293229172,5,F4320337337,National Institute on Aging,R01AG064902
W4293229172,6,F4320337359,National Institute of Neurological Disorders and Stroke,1R01NS102272
W4309202953,1,F4320306101,National Aeronautics and Space Administration,Post-Doctoral program
W4309202953,2,F4320321108,Academy of Finland,318890
W4309202953,3,F4320321108,Academy of Finland,318891
W4309202953,4,F4320332369,National Nuclear Security Administration,DE-NA0003962
W4210274525,1,F4320306076,National Science Foundation,NA
W4210852169,1,F4320306076,National Science Foundation,PHY-2019745 and CHE-1614101
W4210852169,2,F4320306196,Welch Foundation,C-1792
W4224929824,1,F4320338279,Air Force Office of Scientific Research,FA9550‐18‐1‐0510
W4285141508,1,F4320324852,Nanjing University,NA
W4285141508,2,F4320335353,National Science Foundation of Sri Lanka,2034508
W4210280102,1,F4320306076,National Science Foundation,1361355
W4210280102,2,F4320306078,U.S. Department of Defense,PR192581
W4210280102,3,F4320332161,National Institutes of Health,R01AI151374
W4229048172,1,F4320321001,National Natural Science Foundation of China,52105057
W4229048172,2,F4320321543,China Postdoctoral Science Foundation,2021M691307
W4229048172,3,F4320322769,Natural Science Foundation of Jiangsu Province,BK20200916
W4229048172,4,F4320334909,Senior Talent Foundation of Jiangsu University,5501110013
W4229048172,5,F4320335443,Postdoctoral Research Foundation of China,2021M691307
W4229048172,6,F4320338279,Air Force Office of Scientific Research,FA9550‐21‐1‐0455
W4283319732,1,F4320306084,U.S. Department of Energy,DE-SC0019902
W4283319732,2,F4320320847,Science Foundation Ireland,13/RP/B2549 and 16/IA/4624
W4283319732,3,F4320338335,H2020 European Research Council,ADG 885695
W4303578914,1,F4320338281,Army Research Office,W911NF1910416
W4229043527,1,F4320321001,National Natural Science Foundation of China,52171132
W4229043527,2,F4320321001,National Natural Science Foundation of China,62104247
W4229043527,3,F4320337111,Basic and Applied Basic Research Foundation of Guangdong Province,2019A1515110469
W3113416056,1,F4320306087,Semiconductor Research Corporation,NA
W3196586297,1,F4320306076,National Science Foundation,1705837
W3196586297,2,F4320332359,Office of Science,DE-AC02-06CH11357
W4293485589,1,F4320306076,National Science Foundation,2018188
W4293485589,2,F4320338281,Army Research Office,W911NF1910416
W4210482984,1,F4320332359,Office of Science,DE-AC02-06CH11357
W4210482984,2,F4320332359,Office of Science,DE-SC0016872
W4210482984,3,F4320332431,"College of Engineering, Michigan State University",NA
W4210482984,4,F4320337367,Division of Materials Research,DMR-9871177
W4210482984,5,F4320337480,Basic Energy Sciences,DE-SC0021650
W4210482984,6,F4320337480,Basic Energy Sciences,DE-SC0010697
W4213191624,1,F4320321001,National Natural Science Foundation of China,61901313
W4213191624,2,F4320321001,National Natural Science Foundation of China,61971320
W4213191624,3,F4320321001,National Natural Science Foundation of China,61941105
W4213191624,4,F4320321001,National Natural Science Foundation of China,61871387
W4213191624,5,F4320321001,National Natural Science Foundation of China,61825104
W4213191624,6,F4320321543,China Postdoctoral Science Foundation,BX20190264
W4213191624,7,F4320321543,China Postdoctoral Science Foundation,2019M650258
W4213191624,8,F4320335777,National Key Research and Development Program of China,2018YFE0100500
W4220693231,1,F4320306084,U.S. Department of Energy,NA
W4220693231,2,F4320337480,Basic Energy Sciences,DE‐SC0010697
W4220791315,1,F4320321001,National Natural Science Foundation of China,62172369
W4221001302,1,F4320337355,National Institute of Allergy and Infectious Diseases,R21AI140462
W4221001302,2,F4320337355,National Institute of Allergy and Infectious Diseases,R01AI151374
W4221001302,3,F4320338273,Congressionally Directed Medical Research Programs,PR192581
W4210591026,1,F4320306076,National Science Foundation,CMMI-1762722
W4210591026,2,F4320307381,National Sleep Foundation,NA
W4225143840,1,F4320306219,Alzheimer's Association,AARG-17-533484
W4225143840,2,F4320332161,National Institutes of Health,RF1 NS11041
W4225143840,3,F4320332161,National Institutes of Health,R13 AG067684
