id,which_grant,funder_id,funder_name,award_id
W4236533514,1,F4320306076,National Science Foundation,NA
W4236533514,2,F4320306084,U.S. Department of Energy,DE-AC02-05Ch11231
W4236533514,3,F4320322320,King Abdullah University of Science and Technology,NA
W4236533514,4,F4320332195,Samsung,NA
W2152057649,1,F4320321001,National Natural Science Foundation of China,NSFC-61302164
W2152057649,2,F4320321001,National Natural Science Foundation of China,41201341
W2152057649,3,F4320335787,Fundamental Research Funds for the Central Universities,YS1404
W1792065635,1,F4320306076,National Science Foundation,CMMI-1120382
W1792065635,2,F4320306076,National Science Foundation,CMMI-1031829
W1792065635,3,F4320306076,National Science Foundation,ECCS-1307997
W1792065635,4,F4320306076,National Science Foundation,CMMI-1335204
W1792065635,5,F4320306078,U.S. Department of Defense,W81XWH-14-1-0228
W1792065635,6,F4320306196,Welch Foundation,AT-0029
W1792065635,7,F4320321001,National Natural Science Foundation of China,31200637
W1792065635,8,F4320321540,Ministry of Science and Technology of the People's Republic of China,2013AA014201
W1792065635,9,F4320332161,National Institutes of Health,1R01DC011585-01
W1792065635,10,F4320332447,U.S. Army,W91CRB-13-C-0037
W1792065635,11,F4320332447,U.S. Army,W91CRB-14-C-0019
W1792065635,12,F4320338279,Air Force Office of Scientific Research,FA9550-15-1-0089
W1792065635,13,F4320338279,Air Force Office of Scientific Research,FA9550-14-1-0227
W1792065635,14,F4320338279,Air Force Office of Scientific Research,FA9550-12-1-0211
W2175102397,1,F4320306087,Semiconductor Research Corporation,NA
W2175102397,2,F4320310419,Pennsylvania State University,NA
W2175102397,3,F4320332180,Defense Advanced Research Projects Agency,NA
W2175102397,4,F4320337367,Division of Materials Research,DMR-08-20404a
W2031885404,1,F4320338295,Army Research Laboratory,NA
W2171005488,1,F4320306076,National Science Foundation,2013155309
W2171005488,2,F4320334764,Japan Society for the Promotion of Science,30723481
W2374970305,1,F4320306087,Semiconductor Research Corporation,NA
W881619697,1,F4320306084,U.S. Department of Energy,DE-SC0002623
W881619697,2,F4320321001,National Natural Science Foundation of China,11474243
W881619697,3,F4320321001,National Natural Science Foundation of China,11204262
W881619697,4,F4320321001,National Natural Science Foundation of China,51376005
W881619697,5,F4320337367,Division of Materials Research,DMR-10-1006184
W881619697,6,F4320337480,Basic Energy Sciences,DE-AC02-05CH11231
W2343475170,1,F4320306076,National Science Foundation,NA
W2343475170,2,F4320306078,U.S. Department of Defense,NA
W2343475170,3,F4320306084,U.S. Department of Energy,NA
W2343475170,4,F4320306087,Semiconductor Research Corporation,NA
W2343475170,5,F4320307102,Intel Corporation,NA
W2343475170,6,F4320309290,New York University,NA
W2343475170,7,F4320338281,Army Research Office,NA
W2343475170,8,F4320338294,Air Force Research Laboratory,NA
W2412784324,1,F4320332359,Office of Science,NA
W2412784324,2,F4320332454,American Chemical Society Petroleum Research Fund,NA
W2340839400,1,F4320338279,Air Force Office of Scientific Research,FA9550-13-1-0045
W2340839400,2,F4320338281,Army Research Office,W911NF-12-1-0334
W2218224583,1,F4320306087,Semiconductor Research Corporation,NA
W2218224583,2,F4320321739,Consejo Nacional de Ciencia y Tecnología,NL-2010-C33-149216
W2218224583,3,F4320331888,Microelectronics Advanced Research Corporation,NA
W2218224583,4,F4320332180,Defense Advanced Research Projects Agency,NA
W2218224583,5,F4320337392,"Division of Electrical, Communications and Cyber Systems",ECCS-1407765
W2078466759,1,F4320322725,China Scholarship Council,NA
W1773684352,1,F4320308109,Pennsylvania Department of Health,SAP # 4100047863
W1773684352,2,F4320320883,Agence Nationale de la Recherche,ANR-10-IDEX-0001-02 PSL*
W1773684352,3,F4320337346,National Institute of Mental Health,RC1MH08879
W2052043003,1,F4320337345,Office of Naval Research,NA
W1482891665,1,F4320337480,Basic Energy Sciences,DE-FG02-08ER46491
W2246021102,1,F4320306076,National Science Foundation,CNS-1150079
W1984239095,1,F4320306076,National Science Foundation,NA
W1984239095,2,F4320321739,Consejo Nacional de Ciencia y Tecnología,NA
W1984239095,3,F4320334593,Natural Sciences and Engineering Research Council of Canada,NA
W1984239095,4,F4320338279,Air Force Office of Scientific Research,FA9550-13-1-0045
W1984239095,5,F4320338281,Army Research Office,W911NF-12-1-0334
W1621068464,1,F4320337394,Division of Engineering Education and Centers,EEC-0540832
W1572827433,1,F4320337352,National Institute on Deafness and Other Communication Disorders,R01DC009890
W1572827433,2,F4320337352,National Institute on Deafness and Other Communication Disorders,FRN126682
W1572827433,3,F4320337352,National Institute on Deafness and Other Communication Disorders,R01 DC0135470
W2520503923,1,F4320321528,Shanghai Educational Development Foundation,12CG09
W1988730977,1,F4320306084,U.S. Department of Energy,DE-FG02-04ER46109
W1988730977,2,F4320306196,Welch Foundation,AT-1617
W1988730977,3,F4320333591,Multidisciplinary University Research Initiative,RA 9550-14-1-0037
W1988730977,4,F4320338279,Air Force Office of Scientific Research,NA
W2963435352,1,F4320306076,National Science Foundation,NA
W2963435352,2,F4320306087,Semiconductor Research Corporation,NA
W2963435352,3,F4320332180,Defense Advanced Research Projects Agency,NA
W2963435352,4,F4320338279,Air Force Office of Scientific Research,NA
W2341394157,1,F4320306076,National Science Foundation,CNS-1150079
W2341394157,2,F4320306087,Semiconductor Research Corporation,NA
W2088340881,1,F4320332195,Samsung,Samsung GRO Project
W2170856320,1,F4320306196,Welch Foundation,AT 16-17
W2170856320,2,F4320338279,Air Force Office of Scientific Research,FA9550-12-1-0211
W1783545336,1,F4320306076,National Science Foundation,PHY-1307429
W1783545336,2,F4320306076,National Science Foundation,PHY-0970074
W1783545336,3,F4320306076,National Science Foundation,PHY-090003
W1783545336,4,F4320306076,National Science Foundation,PHY-1055103
W1783545336,5,F4320306151,Alfred P. Sloan Foundation,FG-2015-65299
W1783545336,6,F4320322897,"Department for Business, Innovation and Skills",ST/J005673/1
W1783545336,7,F4320334632,Science and Technology Facilities Council,ST/H008586/1
W1783545336,8,F4320334632,Science and Technology Facilities Council,ST/K00333X/1
W1783545336,9,F4320334632,Science and Technology Facilities Council,ST/L000636/1
W1783545336,10,F4320334678,European Research Council,MaGRaTh-646597
W1783545336,11,F4320334779,Fundação para a Ciência e a Tecnologia,IF/00797/2014/CP1214/CT0012
W2092549463,1,F4320306101,National Aeronautics and Space Administration,NNX10AT02G
W2092549463,2,F4320327708,University of Texas at Dallas,NA
W2092549463,3,F4320338294,Air Force Research Laboratory,NA
W2113721159,1,F4320337346,National Institute of Mental Health,93432
W1666355181,1,F4320332161,National Institutes of Health,R44DC010084
W1666355181,2,F4320332161,National Institutes of Health,R01NS085167
W1666355181,3,F4320332180,Defense Advanced Research Projects Agency,DARPA-14-38-Office-Wide-ABB-FP-014
W2254613643,1,F4320306076,National Science Foundation,CMMI-0643783
W2254613643,2,F4320307846,Human Frontier Science Program,RGP0058/2012
W2203611895,1,F4320321739,Consejo Nacional de Ciencia y Tecnología,NA
W2203611895,2,F4320322030,"Ministry of Science, ICT and Future Planning",2014R1A5A1009799
W2203611895,3,F4320322120,National Research Foundation of Korea,NA
W2203611895,4,F4320332180,Defense Advanced Research Projects Agency,D13AP00049
W2321007552,1,F4320306076,National Science Foundation,NA
W2321007552,2,F4320306084,U.S. Department of Energy,NA
W2321007552,3,F4320322388,Lishui University,NA
W2321007552,4,F4320332359,Office of Science,NA
W2321007552,5,F4320337367,Division of Materials Research,1360863
W2321007552,6,F4320337367,Division of Materials Research,1306392
W2321007552,7,F4320337480,Basic Energy Sciences,DE-FG02–07ER46420
W2321007552,8,F4320337480,Basic Energy Sciences,DE-FG02-13ER46946
W2321007552,9,F4320337480,Basic Energy Sciences,DE-FG02-06ER46291
W2048237998,1,F4320306076,National Science Foundation,PHY05-51164
W2048237998,2,F4320332180,Defense Advanced Research Projects Agency,ARO W911NF-07-1-0464
W2151092400,1,F4320306076,National Science Foundation,PHY-0970074
W2151092400,2,F4320306076,National Science Foundation,PHY-1307429
W2151092400,3,F4320306076,National Science Foundation,PHY-1055103
W2151092400,4,F4320320273,University of Cambridge,NA
W2151092400,5,F4320322897,"Department for Business, Innovation and Skills",ST/J005673/1
W2151092400,6,F4320334632,Science and Technology Facilities Council,ST/H008586/1
W2151092400,7,F4320334632,Science and Technology Facilities Council,ST/K00333X/1
W2077348258,1,F4320306087,Semiconductor Research Corporation,NA
W2077348258,2,F4320332178,National Institute of Standards and Technology,NA
W2077348258,3,F4320332180,Defense Advanced Research Projects Agency,NA
W2147347448,1,F4320306076,National Science Foundation,IIS-1161997 II
W2525412388,1,F4320306076,National Science Foundation,IIS-1453781
W2058028426,1,F4320322120,National Research Foundation of Korea,2012R1A3A2048841
W2105220907,1,F4320337375,National Center for Research Resources,HD27917
W2105220907,2,F4320337375,National Center for Research Resources,HD40545
W2105220907,3,F4320337375,National Center for Research Resources,HD21410
W2105220907,4,F4320337375,National Center for Research Resources,HD40500
W2105220907,5,F4320337375,National Center for Research Resources,HD53118
W2105220907,6,F4320337375,National Center for Research Resources,HD36801
W2105220907,7,F4320337375,National Center for Research Resources,HD27869
W2105220907,8,F4320337375,National Center for Research Resources,UL1 RR024989
W2105220907,9,F4320337375,National Center for Research Resources,HD40560
W2105220907,10,F4320337375,National Center for Research Resources,HD40512
W2105220907,11,F4320337375,National Center for Research Resources,5UL1 RR025764
W2105220907,12,F4320337375,National Center for Research Resources,HD34208
W2105220907,13,F4320337375,National Center for Research Resources,HD53097
W2105220907,14,F4320337375,National Center for Research Resources,HD34116
W2105220907,15,F4320337375,National Center for Research Resources,HD40544
W2105220907,16,F4320337375,National Center for Research Resources,HD40485
W2105220907,17,F4320337375,National Center for Research Resources,HD27915
W2105220907,18,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD27917
W2105220907,19,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD40545
W2105220907,20,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD21410
W2105220907,21,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD40500
W2105220907,22,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD53118
W2105220907,23,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD36801
W2105220907,24,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD27869
W2105220907,25,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,UL1 RR024989
W2105220907,26,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD40560
W2105220907,27,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD40512
W2105220907,28,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,5UL1 RR025764
W2105220907,29,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD34208
W2105220907,30,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD53097
W2105220907,31,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD34116
W2105220907,32,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD40544
W2105220907,33,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD40485
W2105220907,34,F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,HD27915
W2047191572,1,F4320321106,Ministry of Education of the People's Republic of China,NA
W2047191572,2,F4320322417,Ministry of Environmental Protection,NCET-12-0449
W2047191572,3,F4320334924,Program for New Century Excellent Talents in University,NA
W2171090291,1,F4320306078,U.S. Department of Defense,W81XWH-06-2-0046
W1825992965,1,F4320308129,Cancer Prevention and Research Institute of Texas,RP140544
W1825992965,2,F4320308129,Cancer Prevention and Research Institute of Texas,RP120588
W2203761183,1,F4320306202,Gordon and Betty Moore Foundation,NA
W1897455558,1,F4320306076,National Science Foundation,AGS 0836171
W1897455558,2,F4320319993,Leverhulme Trust,NA
W1897455558,3,F4320321001,National Natural Science Foundation of China,41271054
W1897455558,4,F4320334631,Natural Environment Research Council,NE/I024852/1
W2068667627,1,F4320306709,Glaucoma Research Foundation,510412
W2275203147,1,F4320306087,Semiconductor Research Corporation,NA
W2275203147,2,F4320331888,Microelectronics Advanced Research Corporation,NA
W2275203147,3,F4320332178,National Institute of Standards and Technology,NA
W2275203147,4,F4320332180,Defense Advanced Research Projects Agency,NA
W2275203147,5,F4320337392,"Division of Electrical, Communications and Cyber Systems",ECCS-1407765
W1997981744,1,F4320332161,National Institutes of Health,R01DC010433
W1997981744,2,F4320332161,National Institutes of Health,R43NS084566
W1997981744,3,F4320332161,National Institutes of Health,R44DC010084
W1998591341,1,F4320308129,Cancer Prevention and Research Institute of Texas,RP120588
W1998591341,2,F4320308129,Cancer Prevention and Research Institute of Texas,RP140544
W1998591341,3,F4320337357,National Institute of Diabetes and Digestive and Kidney Diseases,R01DK103363
W2048754463,1,F4320322443,Okinawa Institute of Science and Technology Graduate University,NA
W2096030192,1,F4320321001,National Natural Science Foundation of China,11174022
W2096030192,2,F4320334924,Program for New Century Excellent Talents in University,NA
W2327291427,1,F4320306089,American Diabetes Association,7-12-MN-76 and 7-12-IN-42
W2327291427,2,F4320306196,Welch Foundation,AT-584
W2327291427,3,F4320337351,National Cancer Institute,1P30-CA142543
W2327291427,4,F4320337357,National Institute of Diabetes and Digestive and Kidney Diseases,R01-DK095416
W2327291427,5,F4320337363,National Institute of Biomedical Imaging and Bioengineering,P41-EB015908
W2413188086,1,F4320320883,Agence Nationale de la Recherche,CIREN 411531
W2413188086,2,F4320322892,Centre National de la Recherche Scientifique,FR3507
W2413188086,3,F4320337367,Division of Materials Research,DMR-1312525
W1860680172,1,F4320306101,National Aeronautics and Space Administration,NNX15AF55G
W2411077906,1,F4320306084,U.S. Department of Energy,DE-EE0005315
W2411077906,2,F4320337367,Division of Materials Research,DMR-0819860
W1779071142,1,F4320306101,National Aeronautics and Space Administration,NNX15AF55G
W1779071142,2,F4320321001,National Natural Science Foundation of China,41231067
W1952393513,1,F4320306101,National Aeronautics and Space Administration,NNX14AB97G
W1952393513,2,F4320321001,National Natural Science Foundation of China,41231067
W2190305311,1,F4320331888,Microelectronics Advanced Research Corporation,NA
W2190305311,2,F4320332180,Defense Advanced Research Projects Agency,NA
W1975616049,1,F4320337346,National Institute of Mental Health,5R01MH072966
