id,abstract_len,doi,jrnl,title,pub_date,retracted,cite_count,pub_type,pub_type_crossref,pmid,which_athr,athr_id,athr_pos,raw_affl,athr_name,inst,inst_id,which_affl
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,1,A5035227520,first,,Bharat B. Biswal,,I102322142,1
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,2,A5059324552,middle,,Maarten Mennes,,I4210086933,1
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,3,A5032668331,middle,,Xi‐Nian Zuo,,I4210086933,1
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,4,A5042560296,middle,,Suril Gohel,,I102322142,1
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,5,A5060596369,middle,,Clare Kelly,,I4210086933,1
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,6,A5066553010,middle,,Stephen M. Smith,,I40120149,1
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,6,A5066553010,middle,,Stephen M. Smith,,I4210101881,2
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,7,A5057492639,middle,,Christian F. Beckmann,,I40120149,1
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,7,A5057492639,middle,,Christian F. Beckmann,,I4210101881,2
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,8,A5046090559,middle,,Jonathan S. Adelstein,,I4210086933,1
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,9,A5048946975,middle,,Randy L. Buckner,,I1344073410,1
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,9,A5048946975,middle,,Randy L. Buckner,,I136199984,2
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,10,A5056989598,middle,,Stan Colcombe,,I161548249,1
W2008607322,182,https://doi.org/10.1073/pnas.0911855107,Proceedings of the National Academy of Sciences,Toward discovery science of human brain function,2010-02-23,FALSE,2956,article,journal-article,20176931,11,A5111976662,middle,,Anne-Marie Dogonowski,,I2801942218,1
