id,which_grant,funder_id,funder_name,award_id
W1858542512,1,F4320308269,Alexander von Humboldt-Stiftung,NA
W1858542512,2,F4320308445,American Roentgen Ray Society,NA
W1858542512,3,F4320309955,"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)",NA
W1858542512,4,F4320312062,Türkiye Atom Enerjisi Kurumu,NA
W1858542512,5,F4320312887,Arizona-Nevada Academy of Science,NA
W1858542512,6,F4320313559,CERN,NA
W1858542512,7,F4320319993,Leverhulme Trust,NA
W1858542512,8,F4320320006,Royal Society,NA
W1858542512,9,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",NA
W1858542512,10,F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,NA
W1858542512,11,F4320320943,Danmarks Grundforskningsfond,NA
W1858542512,12,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,NA
W1858542512,13,F4320321001,National Natural Science Foundation of China,NA
W1858542512,14,F4320321917,General Secretariat for Research and Technology,NA
W1858542512,15,F4320321999,Lundbeckfonden,NA
W1858542512,16,F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NA
W1858542512,17,F4320322189,Joint Institute for Nuclear Research,NA
W1858542512,18,F4320322733,Ministerstwo Edukacji i Nauki,NA
W1858542512,19,F4320322930,Ministerio de Ciencia e Innovación,NA
W1858542512,20,F4320323771,Centre National pour la Recherche Scientifique et Technique,NA
W1858542512,21,F4320324190,Bundesministerium für Wissenschaft und Forschung,NA
W1858542512,22,F4320325306,State Atomic Energy Corporation ROSATOM,NA
W1858542512,23,F4320327234,"Services Fédéraux des Affaires Scientifiques, Techniques et Culturelles",NA
W1858542512,24,F4320334593,Natural Sciences and Engineering Research Council of Canada,NA
W1858542512,25,F4320334632,Science and Technology Facilities Council,NA
W1858542512,26,F4320334832,Agencia Nacional de Promoción Científica y Tecnológica,NA
W2147818954,1,F4320306076,National Science Foundation,NA
W2152494740,1,F4320306196,Welch Foundation,AT-1740
W2121487212,1,F4320306076,National Science Foundation,NA
W2121487212,2,F4320306084,U.S. Department of Energy,NA
W1979469340,1,F4320306076,National Science Foundation,NA
W1979469340,2,F4320306084,U.S. Department of Energy,NA
W1985255347,1,F4320308269,Alexander von Humboldt-Stiftung,NA
W1985255347,2,F4320308445,American Roentgen Ray Society,NA
W1985255347,3,F4320309955,"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)",NA
W1985255347,4,F4320312062,Türkiye Atom Enerjisi Kurumu,NA
W1985255347,5,F4320312887,Arizona-Nevada Academy of Science,NA
W1985255347,6,F4320313559,CERN,NA
W1985255347,7,F4320320912,"Ministry of Education, Culture, Sports, Science and Technology",NA
W1985255347,8,F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,NA
W1985255347,9,F4320320943,Danmarks Grundforskningsfond,NA
W1985255347,10,F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,NA
W1985255347,11,F4320321001,National Natural Science Foundation of China,NA
W1985255347,12,F4320321917,General Secretariat for Research and Technology,NA
W1985255347,13,F4320321999,Lundbeckfonden,NA
W1985255347,14,F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NA
W1985255347,15,F4320322189,Joint Institute for Nuclear Research,NA
W1985255347,16,F4320322733,Ministerstwo Edukacji i Nauki,NA
W1985255347,17,F4320322930,Ministerio de Ciencia e Innovación,NA
W1985255347,18,F4320323771,Centre National pour la Recherche Scientifique et Technique,NA
W1985255347,19,F4320324190,Bundesministerium für Wissenschaft und Forschung,NA
W1985255347,20,F4320325306,State Atomic Energy Corporation ROSATOM,NA
W1985255347,21,F4320327234,"Services Fédéraux des Affaires Scientifiques, Techniques et Culturelles",NA
W1985255347,22,F4320334593,Natural Sciences and Engineering Research Council of Canada,NA
W1985255347,23,F4320334632,Science and Technology Facilities Council,NA
W1985255347,24,F4320334832,Agencia Nacional de Promoción Científica y Tecnológica,NA
W2152453823,1,F4320306076,National Science Foundation,NA
W2152453823,2,F4320306084,U.S. Department of Energy,NA
W2152453823,3,F4320306101,National Aeronautics and Space Administration,NA
W2025623820,1,F4320306084,U.S. Department of Energy,DE-EE004186
W2046408523,1,F4320322120,National Research Foundation of Korea,NRF-2010-616-D00018
